Wall time,Step,Value
1710056785.646983,0,971103.25
1710056787.8820748,1,399117.5
1710056790.1443079,2,359507.625
1710056792.526091,3,265517.65625
1710056794.826518,4,200535.015625
1710056797.1549718,5,163047.5625
1710056799.4550312,6,140960.3125
1710056801.798042,7,125187.265625
1710056804.194717,8,112163.234375
1710056806.584963,9,102120.265625
1710056808.858485,10,92904.5078125
1710056811.3692212,11,85776.2890625
1710056814.017505,12,78895.671875
1710056816.633815,13,74714.6796875
1710056819.268817,14,69747.0625
1710056821.8976388,15,64892.99609375
1710056824.532587,16,61285.03515625
1710056827.1585448,17,58461.91796875
1710056829.835627,18,56306.81640625
1710056832.469134,19,54204.46484375
1710056835.135078,20,53035.66015625
1710056837.7633479,21,50991.55859375
1710056840.398844,22,49042.9296875
1710056843.019815,23,47923.72265625
1710056845.6695192,24,46048.6171875
1710056848.2892458,25,44266.03125
1710056850.932708,26,43454.0078125
1710056853.5634491,27,41740.3515625
1710056856.2308962,28,40741.5390625
1710056858.893245,29,39642.3125
