Wall time,Step,Value
1710057083.097698,0,2190475.0
1710057085.7861068,1,307142.4375
1710057088.495311,2,198460.953125
1710057091.2603252,3,170407.5
1710057094.03217,4,151671.5
1710057096.7604759,5,121016.703125
1710057099.50575,6,105165.71875
1710057102.208033,7,90869.625
1710057104.8947399,8,79591.3515625
1710057107.5677938,9,70440.5234375
1710057110.265177,10,62566.25390625
1710057113.010518,11,57538.28515625
1710057115.7583098,12,53283.734375
1710057118.4262762,13,50331.93359375
1710057121.1272361,14,46590.23046875
1710057123.80588,15,43881.8046875
1710057126.628351,16,44098.7734375
1710057129.380113,17,39118.33984375
1710057132.115329,18,37130.77734375
1710057134.931251,19,37458.10546875
1710057137.665338,20,33929.71875
1710057140.0146592,21,32438.185546875
1710057142.4029381,22,31308.18359375
1710057144.714688,23,29772.361328125
1710057147.0538828,24,29062.033203125
1710057149.424727,25,28617.60546875
1710057151.782685,26,27200.33984375
1710057154.08344,27,25713.19140625
1710057156.3782349,28,24855.73828125
1710057158.691075,29,24385.0234375
