Wall time,Step,Value
1710056929.531511,0,2340353.0
1710056931.6983418,1,103831.9375
1710056933.8796108,2,63111.87109375
1710056936.050823,3,52064.76171875
1710056938.240298,4,46031.41015625
1710056940.39687,5,41906.65234375
1710056942.549628,6,39107.82421875
1710056944.729496,7,37227.74609375
1710056946.870464,8,36600.95703125
1710056949.046011,9,37600.50390625
1710056951.21313,10,33560.85546875
1710056953.381026,11,32865.85546875
1710056955.554465,12,30563.38671875
1710056957.7281349,13,28271.84765625
1710056959.954776,14,24708.361328125
1710056962.443379,15,22540.087890625
1710056964.9560692,16,17852.35546875
1710056967.6468658,17,15504.9736328125
1710056970.280302,18,16664.03515625
1710056972.962635,19,11611.5654296875
1710056975.619172,20,10422.53515625
1710056978.303746,21,9650.763671875
1710056980.9884381,22,9121.6923828125
1710056983.946272,23,8970.83203125
1710056986.66494,24,8512.6142578125
1710056989.304428,25,8444.83984375
1710056991.926643,26,7645.509765625
1710056994.561147,27,14850.873046875
1710056997.204884,28,8503.1982421875
1710056999.8357608,29,7104.34130859375
