Wall time,Step,Value
1712113292.0434408,12288,141.6666717529297
1712113355.4104111,14336,142.85714721679688
1712113612.358397,22528,104.54545593261719
1712113675.3434508,24576,112.5
1712113804.463648,28672,121.42857360839844
1712113869.870199,30720,113.33333587646484
1712113934.3129852,32768,115.625
1712114063.8781672,36864,116.66666412353516
1712114126.8605042,38912,118.42105102539062
1712114192.053666,40960,140.0
1712114256.4873312,43008,151.1627960205078
1712114514.4003751,51200,166.6666717529297
1712115094.729176,69632,178.2608642578125
1712115158.51136,71680,178.8732452392578
1712115285.110326,75776,190.6666717529297
1712115480.410271,81920,211.11111450195312
1712115544.231785,83968,220.48193359375
1712115673.990158,88064,227.27272033691406
1712115799.832675,92160,233.69564819335938
1712115864.685573,94208,230.85105895996094
1712115993.6230762,98304,246.93878173828125
1712116123.090948,102400,250.0
1712116187.287735,104448,258.0
1712116378.750876,110592,273.0
1712116442.7123709,112640,289.0
1712116507.651028,114688,298.0
1712116571.658182,116736,308.0
1712116637.350107,118784,321.0
1712116829.259719,124928,334.0
1712116893.0245209,126976,340.0
1712117020.527663,131072,368.0
1712117148.160033,135168,377.0
1712117211.6089962,137216,382.0
1712117275.328649,139264,382.0
1712117338.8602319,141312,389.0
1712117530.0604138,147456,401.0
1712117594.670922,149504,413.0
1712117658.685268,151552,413.0
1712117723.303953,153600,414.0
1712117852.388725,157696,432.0
1712118044.1133409,163840,445.0
1712118363.5880399,174080,443.0
1712118426.9860559,176128,440.0
1712118490.8366048,178176,445.0
1712118554.2175622,180224,437.0
1712118617.871149,182272,433.0
1712118681.199334,184320,433.0
1712118995.4830232,194560,446.0
1712119500.1479208,210944,440.0
1712119689.761108,217088,426.0
1712119752.667406,219136,429.0
1712120193.5508962,233472,418.0
1712120382.00626,239616,428.0
1712120507.36291,243712,425.0
1712120569.995091,245760,430.0
1712120632.096565,247808,435.0
1712120883.7321448,256000,435.0
1712120946.652318,258048,439.0
1712121009.242076,260096,440.0
1712121197.881431,266240,445.0
1712121260.50098,268288,449.0
1712121449.245281,274432,468.0
1712121701.3512928,282624,465.0
1712121827.483988,286720,465.0
1712121953.64735,290816,469.0
1712122016.609779,292864,470.0
1712122079.867212,294912,471.0
1712122142.7462342,296960,473.0
1712122269.362596,301056,466.0
1712122396.580649,305152,459.0
1712122524.111339,309248,457.0
1712122716.019705,315392,451.0
1712122779.407157,317440,452.0
1712122843.561763,319488,449.0
1712122971.1507149,323584,449.0
1712123034.576721,325632,450.0
1712123098.579492,327680,448.0
1712123289.4413528,333824,441.0
1712123416.689057,337920,439.0
1712123480.62565,339968,434.0
1712123608.3088808,344064,435.0
1712123671.876672,346112,427.0
1712123863.471054,352256,428.0
1712124181.842253,362496,435.0
1712124244.928957,364544,432.0
1712124308.694187,366592,427.0
1712124435.588368,370688,416.0
1712124498.723406,372736,414.0
1712124625.695935,376832,410.0
1712124752.6056871,380928,408.0
1712124814.66628,382976,415.0
1712124876.9165492,385024,419.0
1712124941.600856,387072,416.0
1712125070.241384,391168,411.0
1712125134.1314938,393216,409.0
1712125579.310784,407552,423.0
1712125833.147979,415744,413.0
1712126090.448478,423936,413.0
1712126155.082483,425984,410.0
1712126219.2818618,428032,411.0
1712126473.8423738,436224,405.0
1712126664.598876,442368,396.0
1712126855.217945,448512,381.0
1712126918.862137,450560,383.0
1712127109.682988,456704,366.0
1712127173.465961,458752,363.0
1712127300.611566,462848,358.0
1712127364.05366,464896,360.0
1712127427.640782,466944,366.0
1712127554.2351239,471040,368.0
1712127617.2789,473088,368.0
1712127681.463477,475136,377.0
1712127744.726295,477184,373.0
1712127809.2762082,479232,375.0
1712127873.274119,481280,374.0
1712128065.110423,487424,366.0
1712128256.722,493568,370.0
1712128515.3777778,501760,361.0
1712128578.182574,503808,361.0
1712128706.543592,507904,360.0
1712128835.180226,512000,376.0
1712128899.1592808,514048,371.0
1712129216.637006,524288,372.0
1712129406.940452,530432,375.0
1712129471.2341619,532480,386.0
1712129535.884673,534528,388.0
1712129599.6019468,536576,380.0
1712129727.0965052,540672,389.0
1712129982.621207,548864,399.0
1712130110.114316,552960,399.0
1712130239.450164,557056,416.0
1712130368.81071,561152,422.0
1712130692.116126,571392,416.0
1712130821.637877,575488,406.0
1712131081.046898,583680,415.0
1712131404.3315232,593920,426.0
1712131533.632452,598016,425.0
1712131597.801536,600064,427.0
1712131790.79223,606208,420.0
1712131921.1533,610304,426.0
1712131986.709174,612352,421.0
1712132051.523519,614400,418.0
1712132181.876676,618496,416.0
1712132247.515657,620544,417.0
1712132312.215154,622592,423.0
1712132569.7975218,630784,415.0
1712132634.32021,632832,406.0
1712132762.531577,636928,413.0
1712132954.49388,643072,400.0
1712133210.8487601,651264,403.0
1712133274.931574,653312,406.0
1712133337.678761,655360,399.0
1712133400.3744168,657408,407.0
1712133528.765204,661504,409.0
1712133722.3728142,667648,418.0
1712133788.104049,669696,409.0
1712133852.249961,671744,408.0
1712134047.842568,677888,418.0
1712134111.5334458,679936,411.0
1712134240.430989,684032,400.0
1712134625.68873,696320,398.0
1712134754.3155031,700416,405.0
1712134946.775336,706560,401.0
1712135011.306539,708608,400.0
1712135139.107737,712704,405.0
1712135203.154816,714752,411.0
1712135523.801284,724992,408.0
1712135588.432232,727040,417.0
1712135715.1781619,731136,422.0
1712135844.2872949,735232,421.0
1712135908.198762,737280,425.0
1712135971.650312,739328,430.0
1712136163.431778,745472,414.0
1712136227.330282,747520,410.0
1712136289.6731598,749568,417.0
1712136418.454119,753664,404.0
1712136483.654932,755712,403.0
1712136612.00842,759808,393.0
1712136677.044136,761856,394.0
1712136805.5654001,765952,382.0
1712136934.85377,770048,389.0
1712137063.821633,774144,392.0
1712137128.2935061,776192,391.0
1712137191.001652,778240,393.0
1712137321.097399,782336,401.0
1712137386.752061,784384,397.0
1712137578.035625,790528,398.0
1712137642.284637,792576,395.0
1712137705.589897,794624,392.0
1712137770.582411,796672,401.0
1712137899.210297,800768,401.0
1712137963.497191,802816,409.0
1712138025.839231,804864,407.0
1712138091.583974,806912,411.0
1712138669.345315,825344,408.0
1712138733.547425,827392,404.0
1712138861.802725,831488,414.0
1712139054.133167,837632,413.0
1712139503.7251148,851968,424.0
1712139568.71119,854016,427.0
1712139826.8150332,862208,433.0
1712139890.950839,864256,440.0
1712139955.776147,866304,441.0
1712140084.7626061,870400,429.0
1712140213.884272,874496,424.0
1712140463.950651,882688,423.0
1712141030.765646,901120,438.0
1712141094.728621,903168,432.0
1712141159.064031,905216,435.0
1712141222.742381,907264,433.0
1712141350.83687,911360,429.0
1712141415.144348,913408,431.0
1712141606.5938501,919552,444.0
1712141798.30573,925696,438.0
1712142245.428341,940032,423.0
1712142308.707061,942080,426.0
1712142370.7076108,944128,424.0
1712142434.4654589,946176,418.0
1712142561.444353,950272,418.0
1712142624.613732,952320,416.0
1712142688.568712,954368,417.0
1712142816.114757,958464,428.0
1712142879.544768,960512,425.0
1712142943.3332312,962560,432.0
1712143068.892677,966656,432.0
1712143196.135503,970752,436.0
1712143260.0466719,972800,433.0
1712143511.917639,980992,448.0
1712143956.959442,995328,455.0
1712144146.1809611,1001472,451.0
1712144209.1023722,1003520,448.0
1712144335.019205,1007616,459.0
1712144461.088393,1011712,467.0
1712144652.49561,1017856,470.0
1712145344.189014,1040384,478.0
1712145533.056996,1046528,481.0
1712145596.0311701,1048576,482.0
1712145659.1939368,1050624,490.0
1712145785.425184,1054720,488.0
1712145913.6520698,1058816,484.0
1712145978.141217,1060864,486.0
1712146106.5555682,1064960,473.0
1712146429.296166,1075200,485.0
1712146492.383915,1077248,482.0
1712146873.585887,1089536,470.0
1712147000.2277498,1093632,464.0
1712147063.7644439,1095680,472.0
1712147126.73135,1097728,473.0
1712147190.368674,1099776,474.0
1712147253.481193,1101824,475.0
1712147316.788827,1103872,478.0
1712147380.259459,1105920,471.0
1712147443.0437288,1107968,469.0
