Wall time,Step,Value
1712569212.111563,12288,-1664.0
1712569266.373086,14336,-1664.0
1712569485.040148,22528,-1664.0
1712569540.0809731,24576,-1664.0
1712569649.5826712,28672,-1664.0
1712569704.001857,30720,-1664.0
1712569759.193784,32768,-1664.0
1712569868.750227,36864,-1664.0
1712569923.3357928,38912,-1664.0
1712569977.6916108,40960,-1664.0
1712570031.817469,43008,-1664.0
1712570249.33727,51200,-1664.0
1712570740.368444,69632,-1664.0
1712570795.345288,71680,-1664.0
1712570903.659036,75776,-1664.0
1712571067.157021,81920,-1664.0
1712571121.8561301,83968,-1664.0
1712571230.0936801,88064,-1664.0
1712571338.880348,92160,-1664.0
1712571393.470643,94208,-1664.0
1712571502.205025,98304,-1664.0
1712571610.576287,102400,-1664.0
1712571665.098391,104448,-1664.0
1712571828.556236,110592,-1664.0
1712571883.2199218,112640,-1664.0
1712571936.93235,114688,-1664.0
1712571991.450197,116736,-1664.0
1712572044.7647948,118784,-1664.0
1712572207.3639328,124928,-1664.0
1712572262.865786,126976,-1664.0
1712572372.3150442,131072,-1664.0
1712572481.341393,135168,-1664.0
1712572534.931051,137216,-1664.0
1712572589.668869,139264,-1664.0
1712572643.367278,141312,-1664.0
1712572805.445058,147456,-1664.0
1712572860.3869052,149504,-1664.0
1712572914.519302,151552,-1664.0
1712572969.929267,153600,-1664.0
1712573078.92588,157696,-1664.0
1712573241.401537,163840,-1664.0
1712573511.750155,174080,-1664.0
1712573564.996463,176128,-1664.0
1712573620.148638,178176,-1664.0
1712573673.660651,180224,-1664.0
1712573728.468661,182272,-1664.0
1712573782.38742,184320,-1664.0
1712574051.937144,194560,-1664.0
1712574481.518046,210944,-1664.0
1712574641.837342,217088,-1664.0
1712574695.6755772,219136,-1664.0
1712575070.92868,233472,-1664.0
1712575233.186493,239616,-1664.0
1712575340.448488,243712,-1664.0
1712575393.905136,245760,-1664.0
1712575446.8588202,247808,-1664.0
1712575658.9310248,256000,-1664.0
1712575712.659363,258048,-1664.0
1712575765.564628,260096,-1664.0
1712575925.225806,266240,-1664.0
1712575978.316145,268288,-1664.0
1712576137.3077939,274432,-1664.0
1712576348.2089138,282624,-1664.0
1712576453.885694,286720,-1664.0
1712576559.5138571,290816,-1664.0
1712576611.84013,292864,-1664.0
1712576664.885379,294912,-1664.0
1712576717.356651,296960,-1664.0
1712576823.258613,301056,-1664.0
1712576928.776901,305152,-1664.0
1712577034.4382012,309248,-1664.0
1712577193.604803,315392,-1664.0
1712577246.9499068,317440,-1664.0
1712577301.111537,319488,-1664.0
1712577410.493811,323584,-1664.0
1712577464.2738402,325632,-1664.0
1712577518.5644338,327680,-1664.0
1712577680.4229288,333824,-1664.0
1712577788.068842,337920,-1664.0
1712577842.4763799,339968,-1664.0
1712577950.477739,344064,-1664.0
1712578004.875728,346112,-1664.0
1712578166.570425,352256,-1664.0
1712578434.3142872,362496,-1664.0
1712578489.164958,364544,-1664.0
1712578543.298976,366592,-1664.0
1712578652.451454,370688,-1664.0
1712578707.353981,372736,-1664.0
1712578816.434422,376832,-1664.0
1712578925.087639,380928,-1664.0
1712578978.582569,382976,-1664.0
1712579032.484704,385024,-1664.0
1712579086.275166,387072,-1664.0
1712579193.7652109,391168,-1664.0
1712579247.4808362,393216,-1664.0
1712579620.4815328,407552,-1664.0
1712579834.071928,415744,-1664.0
1712580047.758517,423936,-1664.0
1712580100.801512,425984,-1664.0
1712580154.452613,428032,-1664.0
1712580368.0349991,436224,-1664.0
1712580527.977231,442368,-1664.0
1712580688.339766,448512,-1664.0
1712580741.429604,450560,-1664.0
1712580904.430021,456704,-1664.0
1712580959.192048,458752,-1664.0
1712581067.735722,462848,-1664.0
1712581122.004255,464896,-1664.0
1712581174.663959,466944,-1664.0
1712581284.687775,471040,-1664.0
1712581339.962174,473088,-1664.0
1712581394.619711,475136,-1664.0
1712581450.094054,477184,-1664.0
1712581504.44541,479232,-1664.0
1712581559.295653,481280,-1664.0
1712581723.087878,487424,-1664.0
1712581884.8269498,493568,-1664.0
1712582102.680734,501760,-1664.0
1712582157.4756758,503808,-1664.0
1712582266.296735,507904,-1664.0
1712582375.4191701,512000,-1664.0
1712582429.669646,514048,-1664.0
1712582700.512892,524288,-1664.0
1712582859.7041159,530432,-1664.0
1712582913.154047,532480,-1664.0
1712582966.1516109,534528,-1664.0
1712583019.826714,536576,-1664.0
1712583125.639488,540672,-1664.0
1712583340.864931,548864,-1664.0
1712583448.1301901,552960,-1664.0
1712583554.4977422,557056,-1664.0
1712583661.5791821,561152,-1664.0
1712583926.640267,571392,-1664.0
1712584032.84005,575488,-1664.0
1712584245.721791,583680,-1664.0
1712584513.8122041,593920,-1664.0
1712584621.4923131,598016,-1664.0
