Wall time,Step,Value
1707821446.9846423,5632,475.0
1707821495.370813,10752,725.0
1707821500.2243066,11264,725.0
1707821514.8101506,12800,690.9091186523438
1707821553.6983964,16896,930.7692260742188
1707821558.5638258,17408,980.0
1707821621.6425269,24064,1147.368408203125
1707821655.6842725,27648,1222.727294921875
1707821660.5281773,28160,1222.727294921875
1707821665.3699784,28672,1222.727294921875
1707821728.3408175,35328,1357.142822265625
1707821733.1907468,35840,1472.413818359375
1707821752.6251228,37888,1551.6129150390625
1707821767.1723332,39424,1551.6129150390625
1707821772.030105,39936,1593.75
1707821801.232337,43008,1605.7142333984375
1707821825.5785584,45568,1600.0
1707821859.6828017,49152,1697.5
1707821908.3258307,54272,1702.272705078125
1707821927.8097181,56320,1697.8260498046875
1707821947.2435575,58368,1714.8936767578125
1707822015.3223264,65536,1834.6153564453125
1707822034.7427433,67584,1856.3636474609375
1707822039.5939083,68096,1856.3636474609375
1707822049.2890577,69120,1846.4285888671875
1707822058.9965675,70144,1835.0877685546875
1707822088.1061165,73216,1835.0877685546875
1707822126.9738016,77312,1968.8524169921875
1707822136.6798038,78336,1956.45166015625
1707822141.5296268,78848,1956.45166015625
1707822156.0982084,80384,2052.380859375
1707822190.0407608,83968,2063.076904296875
1707822204.6040068,85504,2111.940185546875
1707822214.3232718,86528,2111.940185546875
1707822224.034914,87552,2111.940185546875
1707822262.910309,91648,2208.45068359375
1707822287.1902337,94208,2219.177978515625
1707822321.239968,97792,2237.662353515625
1707822355.2903407,101376,2231.6455078125
1707822360.1573288,101888,2233.75
1707822413.6005666,107520,2283.333251953125
1707822423.316199,108544,2283.333251953125
1707822462.2167883,112640,2291.9541015625
1707822540.0253682,120832,2338.04345703125
1707822612.99504,128512,2451.041748046875
1707822617.8390357,129024,2451.041748046875
1707822681.0169017,135680,2640.0
1707822685.883921,136192,2640.0
1707822744.1689658,142336,2789.0
1707822758.7632484,143872,2789.0
1707822797.5990338,147968,2858.0
1707822812.1847847,149504,2942.0
1707822826.7338784,151040,2942.0
1707822836.4553485,152064,2942.0
1707822860.838131,154624,3083.0
1707822870.5834591,155648,3142.0
1707822924.2178686,161280,3402.0
1707822943.6754036,163328,3446.0
1707822963.1967278,165376,3505.0
1707822972.922238,166400,3505.0
1707822977.782585,166912,3505.0
1707822992.3612165,168448,3600.0
1707823104.1495755,180224,4095.0
1707823109.0113652,180736,4095.0
1707823167.5880542,186880,4374.0
1707823196.933253,189952,4434.0
1707823201.807728,190464,4434.0
1707823206.699226,190976,4516.0
1707823265.285371,197120,4825.0
1707823304.3399978,201216,4994.0
1707823323.8607435,203264,5028.0
1707823333.6095557,204288,5105.0
1707823357.9626086,206848,5227.0
1707823382.3419452,209408,5314.0
1707823392.1100564,210432,5475.0
1707823445.754369,216064,5724.0
1707823475.0588264,219136,5846.0
1707823479.9310393,219648,5846.0
1707823548.1902893,226816,6138.0
1707823553.0758295,227328,6257.0
1707823562.8400285,228352,6336.0
1707823597.008124,231936,6465.0
1707823626.3312633,235008,6923.0
1707823645.862153,237056,6923.0
1707823670.2845602,239616,6893.0
1707823689.7904134,241664,7023.0
1707823704.43132,243200,7310.0
1707823714.2092147,244224,7406.0
1707823733.728059,246272,7406.0
1707823738.6022854,246784,7406.0
1707823763.011035,249344,7406.0
1707823767.8943126,249856,7520.0
1707823797.175905,252928,7787.0
1707823909.3237112,264704,8441.0
1707823919.0678916,265728,8481.0
1707823923.9403195,266240,8481.0
1707823928.8215928,266752,8481.0
1707823943.4393976,268288,8481.0
1707823953.1946566,269312,8610.0
1707824021.3716063,276480,8945.0
1707824026.2460144,276992,8945.0
1707824035.981239,278016,8945.0
1707824045.7406132,279040,8945.0
1707824055.507743,280064,9038.0
1707824074.9942913,282112,9140.0
1707824084.7337265,283136,9288.0
1707824104.1808267,285184,9288.0
