Wall time,Step,Value
1713015652.2580721,12288,233.3333282470703
1713015659.53459,14336,257.1428527832031
1713015666.544493,16384,470.0
1713015673.476369,18432,620.0
1713015680.624018,20480,620.0
1713015687.5646179,22528,620.0
1713015695.3258932,24576,600.0
1713015702.222616,26624,540.0
1713015709.06379,28672,430.0
1713015715.923552,30720,330.0
1713015722.719462,32768,470.0
1713015729.5211678,34816,540.0
1713015736.3192132,36864,670.0
1713015743.1673758,38912,670.0
1713015750.170593,40960,670.0
1713015757.300779,43008,740.0
1713015764.146517,45056,900.0
1713015770.958828,47104,990.0
1713015777.8105228,49152,1250.0
1713015785.093408,51200,1400.0
1713015792.436745,53248,1640.0
1713015799.387718,55296,1690.0
1713015806.523558,57344,1690.0
1713015813.5592792,59392,1620.0
1713015820.56022,61440,1450.0
1713015827.648221,63488,1170.0
1713015834.506529,65536,1210.0
1713015841.3455129,67584,1210.0
1713015848.175238,69632,1080.0
1713015855.02475,71680,1250.0
1713015861.927509,73728,1630.0
1713015868.789002,75776,1740.0
1713015876.651371,77824,1880.0
1713015884.8134332,79872,1840.0
1713015891.900897,81920,1940.0
1713015898.8168058,83968,1490.0
1713015905.678046,86016,1320.0
1713015912.497515,88064,1250.0
1713015919.337452,90112,1350.0
1713015926.192606,92160,1290.0
1713015933.103373,94208,1610.0
1713015939.9353411,96256,1890.0
1713015946.765225,98304,2060.0
1713015953.66588,100352,2060.0
1713015960.618628,102400,2140.0
1713015967.420747,104448,2130.0
1713015974.240723,106496,2130.0
1713015981.155235,108544,2450.0
1713015987.950526,110592,2480.0
1713015994.778142,112640,2340.0
1713016001.577229,114688,2840.0
1713016008.530045,116736,2660.0
1713016015.299173,118784,2660.0
1713016022.104456,120832,2640.0
1713016028.862685,122880,2640.0
1713016035.699852,124928,2950.0
1713016042.516855,126976,3040.0
1713016049.288786,129024,2940.0
1713016056.109717,131072,2540.0
1713016063.092874,133120,2920.0
1713016069.884696,135168,2920.0
1713016076.688631,137216,2680.0
1713016083.975521,139264,2680.0
1713016091.035975,141312,2580.0
1713016097.896239,143360,2890.0
1713016104.977886,145408,2820.0
1713016111.8921468,147456,3090.0
1713016118.785103,149504,2780.0
1713016125.738456,151552,2790.0
1713016132.7575512,153600,2600.0
1713016139.8510668,155648,2870.0
1713016146.689455,157696,2870.0
1713016153.662888,159744,3230.0
1713016160.686097,161792,3550.0
1713016167.5340889,163840,3690.0
1713016174.341418,165888,3690.0
1713016181.263934,167936,3730.0
1713016188.214209,169984,3730.0
1713016195.0695958,172032,3550.0
1713016201.937494,174080,3550.0
1713016208.947894,176128,3450.0
1713016215.881193,178176,3120.0
1713016222.860994,180224,3090.0
1713016229.757965,182272,3940.0
1713016236.673009,184320,3940.0
1713016243.871692,186368,4210.0
1713016250.898533,188416,4620.0
1713016258.14112,190464,4850.0
1713016265.187113,192512,4740.0
1713016272.0263228,194560,4740.0
1713016279.113749,196608,4440.0
1713016286.1593559,198656,4440.0
1713016293.221621,200704,4440.0
1713016300.16432,202752,4440.0
1713016307.244587,204800,4380.0
1713016314.261183,206848,4400.0
1713016321.9971359,208896,4810.0
1713016328.763137,210944,5020.0
1713016335.5732071,212992,4760.0
1713016342.3959548,215040,4990.0
1713016349.163114,217088,4970.0
1713016355.97455,219136,4970.0
1713016362.753498,221184,4970.0
1713016369.6809568,223232,5190.0
