Wall time,Step,Value
1708419798.3868775,5120,250.0
1708419848.1072793,10240,411.1111145019531
1708419853.0831273,10752,411.1111145019531
1708419868.0437462,12288,409.0909118652344
1708419907.9364758,16384,400.0
1708419912.9145303,16896,400.0
1708419977.736629,23552,704.7619018554688
1708420012.639658,27136,888.0
1708420017.626936,27648,888.0
1708420022.61575,28160,888.0
1708420087.4244072,34816,1270.0
1708420092.4091978,35328,1261.290283203125
1708420112.347312,37376,1271.875
1708420127.2978687,38912,1254.54541015625
1708420132.2816315,39424,1254.54541015625
1708420162.2009897,42496,1383.3333740234375
1708420187.1130261,45056,1383.3333740234375
1708420222.0080218,48640,1535.0
1708420271.8454885,53760,1586.3636474609375
1708420291.7892303,55808,1565.2174072265625
1708420311.7165055,57856,1555.319091796875
1708420381.4916203,65024,1615.3846435546875
1708420401.4346056,67072,1615.3846435546875
1708420406.4202101,67584,1635.8489990234375
1708420416.3999448,68608,1692.727294921875
1708420426.368883,69632,1692.727294921875
1708420456.2853448,72704,1687.71923828125
1708420496.188466,76800,1736.6666259765625
1708420506.168058,77824,1747.541015625
1708420511.1561239,78336,1747.541015625
1708420526.10838,79872,1737.0968017578125
1708420561.0017915,83456,1767.6922607421875
1708420575.9525115,84992,1745.45458984375
1708420585.921788,86016,1755.88232421875
1708420595.8910768,87040,1755.88232421875
1708420635.787238,91136,1781.4285888671875
1708420660.7140708,93696,1780.8218994140625
1708420695.5974352,97280,1760.5263671875
1708420730.494196,100864,1746.25
1708420735.4851964,101376,1746.25
1708420790.2891622,107008,1757.142822265625
1708420800.2610936,108032,1757.142822265625
1708420840.139853,112128,1707.8651123046875
1708420919.909776,120320,1675.2576904296875
1708420994.660361,128000,1722.0
1708420999.6464348,128512,1722.0
1708421064.5029798,135168,1829.0
1708421069.4950967,135680,1848.0
1708421129.3473656,141824,1920.0
1708421144.300271,143360,1947.0
1708421184.1510983,147456,1976.0
1708421199.1035445,148992,1974.0
1708421214.0545712,150528,2036.0
1708421224.0111356,151552,2036.0
1708421248.938631,154112,2068.0
1708421258.9151692,155136,2089.0
1708421313.7237258,160768,2109.0
1708421333.6551397,162816,2109.0
1708421353.617956,164864,2100.0
1708421363.586021,165888,2100.0
1708421368.576884,166400,2100.0
1708421383.522233,167936,2177.0
1708421498.2281227,179712,2237.0
1708421503.2098074,180224,2244.0
1708421563.0055568,186368,2321.0
1708421592.9090908,189440,2335.0
1708421597.8928034,189952,2335.0
1708421602.8805888,190464,2335.0
1708421662.6838279,196608,2329.0
1708421702.577223,200704,2474.0
1708421722.52758,202752,2474.0
1708421732.497009,203776,2474.0
1708421757.4075878,206336,2527.0
1708421782.356544,208896,2667.0
1708421792.3244445,209920,2667.0
1708421847.1815886,215552,2940.0
1708421877.0893416,218624,2962.0
1708421882.0707798,219136,2962.0
1708421951.878839,226304,3281.0
1708421956.8653703,226816,3281.0
1708421966.8295786,227840,3281.0
1708422001.7075362,231424,3494.0
1708422031.619543,234496,3658.0
1708422051.5626442,236544,3694.0
1708422076.50507,239104,3776.0
1708422096.45088,241152,3913.0
1708422111.404047,242688,3954.0
1708422121.3740008,243712,3954.0
1708422141.3135502,245760,3950.0
1708422146.2919207,246272,3950.0
1708422171.245275,248832,4081.0
1708422176.2300646,249344,4081.0
1708422206.1348886,252416,4209.0
1708422320.7996461,264192,4549.0
1708422330.7708666,265216,4549.0
1708422335.755171,265728,4549.0
1708422340.7352004,266240,4549.0
1708422355.7161117,267776,4671.0
1708422365.6924193,268800,4671.0
1708422435.4598868,275968,4914.0
