Wall time,Step,Value
1708230169.2378967,5632,250.0
1708230218.61991,10752,254.5454559326172
1708230223.556299,11264,254.5454559326172
1708230238.39915,12800,308.3333435058594
1708230277.984517,16896,306.25
1708230282.9349194,17408,311.1111145019531
1708230347.2697928,24064,378.2608642578125
1708230381.920024,27648,396.2962951660156
1708230386.8707917,28160,403.5714416503906
1708230391.815191,28672,403.5714416503906
1708230456.1301706,35328,461.76470947265625
1708230461.0786147,35840,497.1428527832031
1708230480.8844447,37888,524.3243408203125
1708230495.749458,39424,515.3846435546875
1708230500.6919255,39936,515.3846435546875
1708230530.3937418,43008,523.8095092773438
1708230555.1567378,45568,557.7777709960938
1708230589.7899709,49152,604.1666870117188
1708230639.257726,54272,674.5098266601562
1708230659.0506809,56320,739.6226196289062
1708230678.83835,58368,818.1818237304688
1708230748.0899494,65536,918.64404296875
1708230767.8841412,67584,937.0968017578125
1708230772.8379183,68096,936.5079345703125
1708230782.7263916,69120,936.5079345703125
1708230792.616606,70144,936.5079345703125
1708230822.3247495,73216,993.9393920898438
1708230861.9031491,77312,1038.5714111328125
1708230871.7956738,78336,1038.5714111328125
1708230876.744619,78848,1050.7042236328125
1708230891.5956764,80384,1050.7042236328125
1708230926.2457507,83968,1112.0
1708230941.0911474,85504,1112.0
1708230950.989599,86528,1112.0
1708230960.8947592,87552,1164.1025390625
1708231000.4653327,91648,1178.48095703125
1708231025.2051988,94208,1203.614501953125
1708231059.8418674,97792,1223.255859375
1708231094.4952204,101376,1242.5286865234375
1708231099.4461503,101888,1247.727294921875
1708231153.8709958,107520,1350.5494384765625
1708231163.769754,108544,1350.5494384765625
1708231203.3492408,112640,1507.368408203125
1708231282.5358737,120832,1703.0
1708231356.7737586,128512,1915.0
1708231361.7310202,129024,1998.0
1708231426.0748684,135680,2259.0
1708231431.02855,136192,2347.0
1708231490.419602,142336,2557.0
1708231505.2652562,143872,2617.0
1708231544.8757463,147968,2746.0
1708231559.7128208,149504,2805.0
1708231574.5935342,151040,2884.0
1708231584.4903214,152064,2884.0
1708231609.2306187,154624,3020.0
1708231619.1220734,155648,3105.0
1708231673.557974,161280,3385.0
1708231693.3531156,163328,3578.0
1708231713.1443944,165376,3578.0
1708231723.0433114,166400,3711.0
1708231727.9975839,166912,3711.0
1708231742.8624604,168448,3874.0
1708231856.736521,180224,4144.0
1708231861.6939125,180736,4261.0
1708231921.1195378,186880,4415.0
1708231950.8267198,189952,4493.0
1708231955.7838106,190464,4622.0
1708231960.733748,190976,4622.0
1708232020.130769,197120,4803.0
1708232059.7096834,201216,4882.0
1708232079.5125265,203264,5019.0
1708232089.4095507,204288,5019.0
1708232114.14128,206848,5029.0
1708232138.8921492,209408,5152.0
1708232148.7851017,210432,5178.0
1708232203.242718,216064,5344.0
1708232232.9234104,219136,5390.0
1708232237.8759577,219648,5456.0
1708232307.2093372,226816,5599.0
1708232312.1650648,227328,5650.0
1708232322.0603318,228352,5650.0
1708232356.7348256,231936,5721.0
1708232386.4277647,235008,5787.0
1708232406.2645123,237056,5836.0
1708232431.0669935,239616,5904.0
1708232450.8835366,241664,5976.0
1708232465.7553647,243200,6008.0
1708232475.6591024,244224,6008.0
1708232495.4767323,246272,6118.0
1708232500.4202533,246784,6118.0
1708232525.1770225,249344,6221.0
1708232530.1322827,249856,6221.0
1708232559.8780296,252928,6251.0
1708232673.8290782,264704,6550.0
1708232683.731339,265728,6550.0
1708232688.6844857,266240,6569.0
1708232693.6317954,266752,6569.0
1708232708.4863498,268288,6609.0
1708232718.3834858,269312,6609.0
1708232787.746674,276480,6828.0
1708232792.7033782,276992,6876.0
1708232802.6138048,278016,6876.0
1708232812.5308497,279040,6876.0
1708232822.442482,280064,6876.0
1708232842.2600129,282112,6928.0
1708232852.1668043,283136,6943.0
1708232871.9723675,285184,7065.0
1708232881.871299,286208,7065.0
1708232901.6677544,288256,7060.0
1708232931.3919916,291328,7095.0
1708232941.3011794,292352,7132.0
1708232961.1054668,294400,7098.0
1708233040.4003327,302592,7238.0
1708233070.112665,305664,7218.0
1708233089.9182196,307712,7352.0
1708233099.811524,308736,7352.0
1708233184.0150588,317440,7209.0
1708233188.9708989,317952,7209.0
1708233228.6088238,322048,7232.0
1708233233.5566745,322560,7232.0
1708233258.3505197,325120,7223.0
1708233263.3311627,325632,7232.0
1708233302.9424603,329728,7283.0
1708233332.7196698,332800,7332.0
1708233337.6697812,333312,7332.0
1708233362.4221222,335872,7332.0
1708233407.0458379,340480,7387.0
1708233416.9427562,341504,7387.0
1708233451.5951858,345088,7366.0
1708233491.2075849,349184,7453.0
1708233496.1516414,349696,7453.0
1708233535.803225,353792,7487.0
1708233575.4539425,357888,7551.0
1708233585.3654234,358912,7627.0
1708233664.614135,367104,7698.0
1708233719.1140685,372736,7923.0
1708233729.0282063,373760,7923.0
1708233738.9369452,374784,7923.0
1708233753.787528,376320,7951.0
1708233758.742737,376832,8000.0
1708233768.6426067,377856,8000.0
1708233773.5937822,378368,8000.0
1708233778.5492983,378880,8089.0
1708233833.0234122,384512,8249.0
1708233932.1190193,394752,8509.0
1708233986.6027422,400384,8531.0
1708233991.5566945,400896,8575.0
1708234011.3550332,402944,8575.0
1708234021.2614963,403968,8575.0
1708234051.0000963,407040,8633.0
1708234130.2898986,415232,8772.0
1708234135.2469814,415744,8772.0
1708234145.1565573,416768,8834.0
1708234159.9994154,418304,8834.0
1708234204.5549176,422912,8978.0
1708234268.9441223,429568,9061.0
1708234308.558053,433664,9101.0
1708234323.4188147,435200,9330.0
1708234392.7892258,442368,9522.0
1708234417.5488935,444928,9522.0
1708234437.395328,446976,9580.0
1708234462.1872125,449536,9574.0
1708234526.5769627,456192,9469.0
1708234536.4770145,457216,9469.0
1708234581.0412962,461824,9564.0
1708234590.9428499,462848,9564.0
1708234610.755143,464896,9553.0
1708234645.442806,468480,9518.0
1708234754.3803022,479744,9472.0
1708234764.3031328,480768,9470.0
1708234813.865883,485888,9435.0
1708234848.5304217,489472,9495.0
1708234917.8959258,496640,9624.0
1708234997.1484756,504832,9676.0
1708235012.0072567,506368,9676.0
1708235061.54534,511488,9706.0
1708235071.455128,512512,9706.0
1708235096.2230191,515072,9794.0
1708235111.0919337,516608,9794.0
1708235120.9881263,517632,9794.0
1708235175.4805477,523264,10005.0
1708235210.13103,526848,10039.0
1708235229.943386,528896,10050.0
1708235239.853366,529920,10050.0
1708235284.4336998,534528,10032.0
1708235378.5147853,544256,9777.0
1708235447.8544781,551424,9770.0
1708235452.8147607,551936,9770.0
1708235462.7144399,552960,9674.0
1708235482.542559,555008,9565.0
1708235527.134446,559616,9526.0
1708235586.5656185,565760,9501.0
1708235606.37404,567808,9551.0
1708235616.2693703,568832,9551.0
1708235631.1284668,570368,9540.0
1708235641.0315146,571392,9602.0
1708235650.9341066,572416,9584.0
1708235700.4446285,577536,9578.0
1708235720.2882314,579584,9519.0
1708235725.2403183,580096,9519.0
1708235754.9485896,583168,9505.0
1708235764.853837,584192,9491.0
1708235789.61128,586752,9491.0
1708235824.27787,590336,9499.0
1708235849.041629,592896,9490.0
1708235853.992981,593408,9490.0
1708235913.4657888,599552,9368.0
1708235962.9896502,604672,9334.0
1708235972.8943756,605696,9334.0
1708235977.8715656,606208,9334.0
1708236012.5415459,609792,9172.0
1708236037.309992,612352,9172.0
1708236057.126863,614400,9132.0
1708236062.0823238,614912,9041.0
1708236121.5457392,621056,8962.0
1708236161.1672037,625152,8885.0
1708236180.978062,627200,8966.0
1708236205.7349215,629760,9020.0
1708236215.6422882,630784,9040.0
1708236235.448581,632832,9040.0
1708236309.7369106,640512,8932.0
1708236319.6430473,641536,8952.0
1708236344.4073687,644096,8911.0
1708236349.3574965,644608,8911.0
1708236359.2604938,645632,8911.0
1708236374.1272805,647168,8890.0
1708236393.9291742,649216,8890.0
1708236423.6449466,652288,8949.0
1708236443.4543662,654336,8949.0
1708236468.2275302,656896,8949.0
1708236497.9418404,659968,9065.0
1708236512.8078616,661504,9065.0
1708236537.5881786,664064,9145.0
1708236552.442857,665600,9133.0
1708236577.1942632,668160,9133.0
1708236596.996145,670208,9160.0
1708236616.8068392,672256,9106.0
1708236661.3779452,676864,9040.0
1708236696.0586555,680448,9023.0
1708236710.9079611,681984,9023.0
1708236715.8585026,682496,9023.0
1708236760.428441,687104,8886.0
1708236809.9566698,692224,8721.0
1708236884.2432666,699904,8672.0
1708236904.0642836,701952,8780.0
1708236958.5470538,707584,8710.0
1708236963.5007584,708096,8710.0
1708236983.308191,710144,8796.0
1708237047.6844552,716800,8849.0
1708237166.5445335,729088,8758.0
1708237260.6309192,738816,8939.0
1708237270.5611522,739840,9035.0
1708237275.513084,740352,9035.0
1708237280.4645138,740864,9035.0
1708237325.036114,745472,8959.0
1708237364.690016,749568,8955.0
1708237369.641103,750080,8955.0
1708237384.496687,751616,8955.0
1708237448.8660333,758272,9093.0
1708237458.7631755,759296,9093.0
1708237513.2380154,764928,9183.0
1708237528.0975513,766464,9135.0
1708237547.9155214,768512,9236.0
1708237567.7310855,770560,9268.0
1708237587.563551,772608,9279.0
1708237622.236924,776192,9245.0
1708237627.1884022,776704,9245.0
1708237642.0483685,778240,9275.0
1708237656.9079602,779776,9317.0
1708237716.3385231,785920,9383.0
1708237746.0529966,788992,9473.0
1708237765.8610196,791040,9473.0
1708237815.4031193,796160,9584.0
1708237830.2527926,797696,9584.0
1708237899.6235304,804864,9635.0
1708237914.4763737,806400,9635.0
1708237939.2503211,808960,9723.0
1708237954.107965,810496,9723.0
1708237998.6846905,815104,9941.0
1708238053.1647615,820736,9967.0
1708238077.9336903,823296,9973.0
1708238087.8377182,824320,9973.0
1708238206.731227,836608,10399.0
1708238246.3448582,840704,10501.0
1708238256.265114,841728,10434.0
1708238271.131578,843264,10434.0
1708238300.8613644,846336,10438.0
1708238305.8094969,846848,10438.0
1708238340.481931,850432,10395.0
1708238380.0869703,854528,10293.0
1708238399.8879495,856576,10306.0
1708238419.6966648,858624,10255.0
1708238454.3611693,862208,10235.0
1708238464.26545,863232,10270.0
1708238493.9706154,866304,10240.0
1708238538.5230918,870912,10199.0
1708238578.136853,875008,10217.0
1708238588.0369296,876032,10217.0
1708238602.8844981,877568,10260.0
1708238617.7560198,879104,10299.0
1708238622.702741,879616,10299.0
1708238657.431665,883200,10284.0
1708238677.2552667,885248,10274.0
1708238682.2151551,885760,10265.0
1708238716.906147,889344,10121.0
1708238761.5136476,893952,10038.0
1708238781.329747,896000,10038.0
1708238791.2470758,897024,9786.0
1708238835.8601885,901632,9581.0
1708238890.3409846,907264,9343.0
1708238939.930187,912384,9135.0
1708238949.8522809,913408,9129.0
1708238984.5229683,916992,8763.0
1708238989.4739218,917504,8763.0
1708239009.2843888,919552,8738.0
1708239024.137381,921088,8662.0
1708239063.7866178,925184,8472.0
1708239157.9048843,934912,8214.0
1708239177.7128067,936960,8125.0
1708239212.418291,940544,7920.0
1708239252.0618873,944640,7885.0
1708239296.7007399,949248,7827.0
1708239316.510114,951296,7827.0
1708239361.094577,955904,7695.0
1708239385.851034,958464,7695.0
1708239390.8032622,958976,7695.0
1708239395.7694051,959488,7658.0
1708239475.020232,967680,7464.0
1708239499.7725163,970240,7464.0
1708239554.2690516,975872,7476.0
1708239569.1510553,977408,7201.0
1708239598.86053,980480,7201.0
1708239603.8220575,980992,7055.0
1708239623.6512446,983040,6927.0
1708239648.4188855,985600,6920.0
1708239678.1559243,988672,6806.0
1708239683.1210847,989184,6734.0
1708239737.6070256,994816,6361.0
1708239757.4665716,996864,6361.0
1708239762.4143896,997376,6361.0
1708239782.2131245,999424,6316.0
1708239792.115453,1000448,6328.0
1708239821.8440359,1003520,6261.0
1708239836.7002883,1005056,6261.0
1708239856.5010169,1007104,6261.0
1708239861.4672709,1007616,6181.0
1708239871.3775492,1008640,6144.0
1708239876.328904,1009152,6144.0
1708239886.2938592,1010176,6196.0
1708239940.7703865,1015808,6203.0
1708239950.6859846,1016832,6203.0
1708239990.333558,1020928,6253.0
1708239995.2830975,1021440,6253.0
1708240010.1671488,1022976,6302.0
1708240183.5416176,1040896,6015.0
1708240287.5434337,1051648,6029.0
1708240327.158178,1055744,6069.0
1708240386.5874856,1061888,6114.0
1708240401.4468567,1063424,6114.0
1708240446.0099444,1068032,6105.0
1708240495.5250497,1073152,6082.0
1708240535.132835,1077248,6084.0
1708240549.986284,1078784,5998.0
1708240564.8325453,1080320,6009.0
1708240594.5594482,1083392,5996.0
1708240619.3338952,1085952,5990.0
1708240624.2868896,1086464,5990.0
1708240644.0919862,1088512,5990.0
1708240649.0478487,1089024,6037.0
1708240683.712394,1092608,6086.0
1708240728.26882,1097216,6211.0
1708240743.1263163,1098752,6295.0
1708240842.1551278,1108992,6506.0
1708240891.6678839,1114112,6506.0
1708240980.7946103,1123328,6682.0
1708241015.4427958,1126912,6634.0
1708241050.0890784,1130496,6672.0
1708241089.7026772,1134592,6766.0
1708241099.6028378,1135616,6766.0
1708241119.406372,1137664,6779.0
1708241149.1054165,1140736,6868.0
1708241168.913694,1142784,6868.0
1708241223.3889217,1148416,6938.0
1708241238.235806,1149952,6938.0
1708241262.994293,1152512,6985.0
1708241327.37421,1159168,6967.0
1708241446.220904,1171456,7302.0
1708241540.3138404,1181184,7423.0
1708241565.0831697,1183744,7327.0
1708241570.03333,1184256,7327.0
1708241619.5574758,1189376,7163.0
1708241634.4106166,1190912,7163.0
1708241659.1669223,1193472,7069.0
1708241698.7885704,1197568,6915.0
1708241748.3320882,1202688,6778.0
1708241797.8667119,1207808,6903.0
1708241832.5417597,1211392,6963.0
1708241901.868733,1218560,6996.0
1708241981.1333027,1226752,7116.0
1708242000.964031,1228800,7158.0
1708242005.9210162,1229312,7158.0
1708242020.8050668,1230848,7157.0
1708242025.7568152,1231360,7157.0
1708242174.3257494,1246720,7563.0
1708242189.1889808,1248256,7563.0
1708242209.0002573,1250304,7563.0
1708242213.9488752,1250816,7563.0
1708242238.7127557,1253376,7746.0
1708242243.6634288,1253888,7746.0
1708242303.1257362,1260032,7915.0
1708242342.7494211,1264128,7890.0
1708242357.603791,1265664,7872.0
1708242456.6993868,1275904,7903.0
1708242496.3327537,1280000,7942.0
1708242521.1089325,1282560,7942.0
1708242531.0069723,1283584,7942.0
1708242545.877154,1285120,8002.0
1708242555.7802691,1286144,7982.0
1708242560.7296464,1286656,7982.0
1708242615.1973312,1292288,7972.0
1708242620.1631258,1292800,8025.0
1708242625.1132524,1293312,8025.0
1708242635.0157597,1294336,8025.0
1708242644.9203498,1295360,8025.0
1708242669.6824498,1297920,8054.0
1708242679.5834088,1298944,7983.0
1708242719.1974244,1303040,7910.0
1708242852.977847,1316864,7704.0
1708242857.9289975,1317376,7608.0
1708242912.417852,1323008,7499.0
1708242917.370162,1323520,7499.0
1708242966.9026635,1328640,7418.0
1708242971.8491993,1329152,7418.0
1708242986.721576,1330688,7366.0
1708243021.382141,1334272,7282.0
1708243056.0585887,1337856,7124.0
1708243120.4563842,1344512,7080.0
1708243160.1085927,1348608,7137.0
1708243165.0611227,1349120,7137.0
1708243199.7213576,1352704,7275.0
1708243214.5763776,1354240,7304.0
1708243219.5323143,1354752,7304.0
1708243224.485399,1355264,7304.0
1708243239.3439553,1356800,7309.0
1708243333.4663832,1366528,7550.0
1708243373.1195643,1370624,7574.0
1708243378.0732472,1371136,7574.0
1708243392.926731,1372672,7577.0
1708243427.6036043,1376256,7545.0
1708243442.4623308,1377792,7545.0
1708243452.3654394,1378816,7501.0
1708243467.2150426,1380352,7501.0
1708243487.0236201,1382400,7513.0
1708243531.614092,1387008,7488.0
1708243561.3321013,1390080,7382.0
1708243586.068635,1392640,7382.0
1708243605.8711886,1394688,7371.0
1708243615.7804396,1395712,7330.0
1708243665.2757256,1400832,7330.0
1708243670.2244723,1401344,7364.0
1708243690.0209765,1403392,7364.0
1708243714.7830644,1405952,7413.0
1708243719.7305346,1406464,7413.0
1708243724.6842098,1406976,7413.0
1708243739.529723,1408512,7413.0
1708243784.0903878,1413120,7567.0
1708243789.0397906,1413632,7567.0
1708243793.9913535,1414144,7567.0
1708243818.7629125,1416704,7575.0
1708243843.526625,1419264,7598.0
1708243858.385189,1420800,7591.0
1708243873.2528288,1422336,7598.0
1708243883.1537197,1423360,7598.0
1708243893.0533204,1424384,7599.0
1708243907.9070575,1425920,7593.0
1708243942.5676992,1429504,7654.0
1708244001.9845166,1435648,7687.0
1708244011.8819008,1436672,7687.0
1708244076.244537,1443328,7787.0
1708244081.1950674,1443840,7787.0
1708244135.658112,1449472,7963.0
1708244185.16352,1454592,8121.0
1708244204.9692876,1456640,8103.0
1708244234.6677413,1459712,8084.0
1708244269.3281634,1463296,8214.0
1708244274.2756407,1463808,8214.0
1708244318.8365624,1468416,8311.0
1708244323.7947314,1468928,8268.0
1708244417.8869705,1478656,8475.0
1708244422.8376882,1479168,8475.0
1708244467.3980126,1483776,8486.0
1708244477.300417,1484800,8527.0
1708244487.198604,1485824,8696.0
1708244526.8435328,1489920,8675.0
1708244566.4482467,1494016,8911.0
1708244586.2619216,1496064,8911.0
1708244601.1115427,1497600,8878.0
1708244611.0096285,1498624,8878.0
1708244615.9560628,1499136,8878.0
1708244630.8148472,1500672,8920.0
1708244660.5380452,1503744,9031.0
1708244680.3515155,1505792,9112.0
1708244685.3014753,1506304,9112.0
1708244754.624926,1513472,9427.0
1708244769.4692063,1515008,9454.0
1708244784.3219144,1516544,9526.0
1708244818.96657,1520128,9560.0
1708244833.827509,1521664,9560.0
1708244843.740972,1522688,9607.0
1708244873.4266534,1525760,9607.0
1708244898.1757834,1528320,9589.0
1708244927.8615475,1531392,9726.0
1708244937.7644358,1532416,9729.0
1708244987.2365596,1537536,9633.0
1708245002.0888996,1539072,9596.0
1708245016.9304538,1540608,9596.0
1708245056.5443814,1544704,9725.0
1708245101.1146078,1549312,9819.0
1708245150.6086993,1554432,9821.0
1708245175.362453,1556992,9848.0
