Wall time,Step,Value
1707999687.2489576,5632,-20.5
1707999735.2776499,10752,-20.55555534362793
1707999740.0963655,11264,-20.41666603088379
1707999754.4857943,12800,-20.41666603088379
1707999792.9100826,16896,-20.375
1707999797.7341294,17408,-20.41176414489746
1707999860.265861,24064,-20.592592239379883
1707999893.9154062,27648,-20.65625
1707999898.7263596,28160,-20.65625
1707999903.5272386,28672,-20.65625
1707999965.9957924,35328,-20.725000381469727
1707999970.795743,35840,-20.731706619262695
1707999990.0234709,37888,-20.75
1708000004.4194539,39424,-20.77083396911621
1708000009.216221,39936,-20.77083396911621
1708000038.066852,43008,-20.788461685180664
1708000062.1021755,45568,-20.803571701049805
1708000095.7371721,49152,-20.816667556762695
1708000143.7687995,54272,-20.8358211517334
1708000162.9837878,56320,-20.83823585510254
1708000182.2361794,58368,-20.84722137451172
1708000249.5936513,65536,-20.862499237060547
1708000268.824658,67584,-20.869047164916992
1708000273.6330163,68096,-20.869047164916992
1708000283.2785435,69120,-20.870588302612305
1708000292.896318,70144,-20.875
1708000321.7137356,73216,-20.880434036254883
1708000360.095176,77312,-20.88541603088379
1708000369.6892047,78336,-20.886598587036133
1708000374.4959605,78848,-20.889999389648438
1708000388.8865354,80384,-20.889999389648438
1708000422.463076,83968,-20.90999984741211
1708000436.8635929,85504,-20.899999618530273
1708000446.4647179,86528,-20.90999984741211
1708000456.0641994,87552,-20.90999984741211
1708000494.5274785,91648,-20.940000534057617
1708000518.5670574,94208,-20.940000534057617
1708000552.2101336,97792,-20.920000076293945
1708000585.8915076,101376,-20.889999389648438
1708000590.695771,101888,-20.889999389648438
1708000643.543091,107520,-20.809999465942383
1708000653.151954,108544,-20.809999465942383
1708000691.522718,112640,-20.760000228881836
1708000768.2863767,120832,-20.649999618530273
1708000840.2200313,128512,-20.579999923706055
1708000845.0163884,129024,-20.56999969482422
1708000907.3906558,135680,-20.510000228881836
1708000912.181392,136192,-20.510000228881836
1708000969.7279892,142336,-20.469999313354492
1708000984.1161149,143872,-20.459999084472656
1708001022.5042627,147968,-20.420000076293945
1708001036.887614,149504,-20.420000076293945
1708001051.288147,151040,-20.389999389648438
1708001060.877377,152064,-20.3700008392334
1708001084.8708632,154624,-20.350000381469727
1708001094.4564552,155648,-20.34000015258789
1708001147.2435,161280,-20.309999465942383
1708001166.410615,163328,-20.299999237060547
1708001185.600505,165376,-20.270000457763672
1708001195.1864545,166400,-20.270000457763672
1708001199.981621,166912,-20.270000457763672
1708001214.3826447,168448,-20.25
1708001324.671806,180224,-20.219999313354492
1708001329.4657934,180736,-20.219999313354492
1708001386.9881277,186880,-20.200000762939453
1708001415.7714865,189952,-20.18000030517578
1708001420.5603075,190464,-20.18000030517578
1708001425.3647244,190976,-20.18000030517578
1708001482.9657476,197120,-20.209999084472656
1708001521.4024925,201216,-20.25
1708001540.6132963,203264,-20.270000457763672
1708001550.2186096,204288,-20.290000915527344
1708001574.2858725,206848,-20.260000228881836
1708001598.3421056,209408,-20.229999542236328
1708001607.9537888,210432,-20.219999313354492
1708001660.9349153,216064,-20.239999771118164
1708001689.7799473,219136,-20.229999542236328
1708001694.6061807,219648,-20.229999542236328
1708001761.9970467,226816,-20.270000457763672
1708001766.823994,227328,-20.260000228881836
1708001776.4392252,228352,-20.260000228881836
1708001810.1293223,231936,-20.25
1708001839.0020952,235008,-20.260000228881836
1708001858.2794898,237056,-20.280000686645508
1708001882.3337584,239616,-20.280000686645508
1708001901.6344628,241664,-20.299999237060547
1708001916.0630217,243200,-20.299999237060547
1708001925.6969569,244224,-20.309999465942383
1708001944.95066,246272,-20.239999771118164
1708001949.769251,246784,-20.239999771118164
1708001973.8113453,249344,-20.239999771118164
1708001978.6118653,249856,-20.239999771118164
1708002007.469118,252928,-20.209999084472656
1708002118.1367707,264704,-20.190000534057617
1708002127.7513149,265728,-20.18000030517578
1708002132.5685856,266240,-20.18000030517578
1708002137.3777688,266752,-20.170000076293945
1708002151.8608093,268288,-20.170000076293945
1708002161.4966166,269312,-20.170000076293945
1708002228.842818,276480,-20.190000534057617
1708002233.6782167,276992,-20.209999084472656
1708002243.3127522,278016,-20.229999542236328
1708002252.9356446,279040,-20.229999542236328
1708002262.5513477,280064,-20.229999542236328
1708002281.8278542,282112,-20.219999313354492
1708002291.4440577,283136,-20.229999542236328
1708002310.7318287,285184,-20.219999313354492
1708002320.4118392,286208,-20.229999542236328
1708002339.722482,288256,-20.25
1708002368.7052784,291328,-20.25
1708002378.3665314,292352,-20.239999771118164
1708002397.693056,294400,-20.239999771118164
1708002474.9335196,302592,-20.34000015258789
1708002503.8728125,305664,-20.31999969482422
1708002523.200257,307712,-20.309999465942383
1708002532.8610406,308736,-20.309999465942383
1708002614.8840754,317440,-20.270000457763672
1708002619.6980367,317952,-20.270000457763672
1708002658.1926455,322048,-20.239999771118164
1708002662.9977624,322560,-20.239999771118164
1708002687.1045034,325120,-20.260000228881836
1708002691.9054008,325632,-20.25
1708002730.4497652,329728,-20.219999313354492
1708002759.3861036,332800,-20.239999771118164
1708002764.2080402,333312,-20.239999771118164
1708002788.2871087,335872,-20.270000457763672
1708002831.642677,340480,-20.260000228881836
1708002841.288068,341504,-20.280000686645508
1708002875.0076563,345088,-20.299999237060547
1708002913.5983016,349184,-20.329999923706055
1708002918.4205337,349696,-20.329999923706055
1708002956.9854963,353792,-20.31999969482422
1708002995.522633,357888,-20.31999969482422
1708003005.1644232,358912,-20.309999465942383
1708003082.329584,367104,-20.260000228881836
1708003135.3481352,372736,-20.239999771118164
1708003144.9866817,373760,-20.239999771118164
1708003154.6192775,374784,-20.229999542236328
1708003169.1210408,376320,-20.219999313354492
1708003173.9289114,376832,-20.219999313354492
1708003183.6094103,377856,-20.219999313354492
1708003188.434983,378368,-20.209999084472656
1708003193.2585096,378880,-20.219999313354492
1708003246.3388388,384512,-20.139999389648438
1708003342.9988563,394752,-20.1299991607666
1708003396.2043753,400384,-20.18000030517578
1708003401.033986,400896,-20.18000030517578
1708003420.3712888,402944,-20.200000762939453
1708003430.0464866,403968,-20.209999084472656
1708003459.203566,407040,-20.209999084472656
1708003536.877107,415232,-20.200000762939453
1708003541.714058,415744,-20.200000762939453
1708003551.382764,416768,-20.209999084472656
1708003565.908063,418304,-20.229999542236328
1708003609.4841962,422912,-20.229999542236328
1708003672.4433737,429568,-20.239999771118164
1708003711.18755,433664,-20.280000686645508
1708003725.7065268,435200,-20.280000686645508
1708003793.4622977,442368,-20.309999465942383
1708003817.6769776,444928,-20.31999969482422
1708003837.03455,446976,-20.34000015258789
1708003861.2975807,449536,-20.329999923706055
1708003924.498586,456192,-20.399999618530273
1708003934.2037363,457216,-20.389999389648438
1708003978.0173411,461824,-20.43000030517578
1708003987.7231982,462848,-20.43000030517578
1708004007.1611655,464896,-20.450000762939453
1708004041.1339266,468480,-20.489999771118164
1708004147.9545314,479744,-20.450000762939453
1708004157.6573932,480768,-20.440000534057617
1708004206.120965,485888,-20.43000030517578
1708004240.089234,489472,-20.43000030517578
1708004307.9153616,496640,-20.40999984741211
1708004385.5974505,504832,-20.389999389648438
1708004400.18423,506368,-20.3799991607666
1708004448.7032733,511488,-20.350000381469727
1708004458.3999908,512512,-20.34000015258789
1708004482.7810261,515072,-20.329999923706055
1708004497.2190182,516608,-20.34000015258789
1708004506.8701916,517632,-20.31999969482422
1708004559.87027,523264,-20.329999923706055
1708004593.5968547,526848,-20.31999969482422
1708004612.8698292,528896,-20.270000457763672
1708004622.496365,529920,-20.270000457763672
1708004665.8894827,534528,-20.239999771118164
1708004757.363185,544256,-20.209999084472656
1708004824.6927543,551424,-20.200000762939453
1708004829.5151415,551936,-20.200000762939453
1708004839.133703,552960,-20.200000762939453
1708004858.3532977,555008,-20.200000762939453
1708004901.8571386,559616,-20.200000762939453
1708004959.4176452,565760,-20.190000534057617
1708004978.6151857,567808,-20.209999084472656
1708004988.2054431,568832,-20.209999084472656
1708005002.5871918,570368,-20.239999771118164
1708005012.1850412,571392,-20.260000228881836
1708005021.774818,572416,-20.270000457763672
1708005069.704596,577536,-20.270000457763672
1708005088.8929954,579584,-20.299999237060547
1708005093.683753,580096,-20.299999237060547
1708005122.45677,583168,-20.280000686645508
1708005132.041753,584192,-20.280000686645508
1708005156.010143,586752,-20.290000915527344
1708005189.5726538,590336,-20.299999237060547
1708005213.5428598,592896,-20.31999969482422
1708005218.3449047,593408,-20.31999969482422
1708005275.8630044,599552,-20.31999969482422
1708005323.826234,604672,-20.350000381469727
1708005333.4049456,605696,-20.350000381469727
1708005338.1990497,606208,-20.350000381469727
1708005371.7511897,609792,-20.31999969482422
1708005395.7680821,612352,-20.299999237060547
1708005414.9812667,614400,-20.280000686645508
1708005419.7751806,614912,-20.280000686645508
1708005477.3067164,621056,-20.280000686645508
1708005515.6420789,625152,-20.290000915527344
1708005534.8210356,627200,-20.299999237060547
1708005558.7757916,629760,-20.290000915527344
1708005568.3488212,630784,-20.299999237060547
1708005587.5262985,632832,-20.290000915527344
1708005659.4609392,640512,-20.299999237060547
1708005669.0592768,641536,-20.309999465942383
1708005693.036306,644096,-20.290000915527344
1708005697.835994,644608,-20.290000915527344
1708005707.4376535,645632,-20.280000686645508
1708005721.8238728,647168,-20.280000686645508
1708005741.0113196,649216,-20.239999771118164
1708005769.7886598,652288,-20.229999542236328
1708005788.9783795,654336,-20.25
1708005812.9432008,656896,-20.280000686645508
1708005841.6845798,659968,-20.25
1708005856.074027,661504,-20.239999771118164
1708005880.038369,664064,-20.219999313354492
1708005894.4139888,665600,-20.219999313354492
1708005918.3996918,668160,-20.219999313354492
1708005937.580352,670208,-20.209999084472656
1708005956.7532268,672256,-20.209999084472656
1708006000.0498128,676864,-20.229999542236328
1708006033.6201217,680448,-20.209999084472656
1708006048.0080583,681984,-20.200000762939453
1708006052.8065007,682496,-20.209999084472656
1708006096.0446854,687104,-20.219999313354492
1708006144.013965,692224,-20.229999542236328
1708006215.9787698,699904,-20.260000228881836
1708006235.1834018,701952,-20.260000228881836
1708006287.9501655,707584,-20.280000686645508
1708006292.742016,708096,-20.280000686645508
1708006311.9390676,710144,-20.239999771118164
1708006374.3257542,716800,-20.299999237060547
1708006489.5115385,729088,-20.34000015258789
1708006580.6562436,738816,-20.3700008392334
1708006590.251498,739840,-20.3799991607666
1708006595.0378814,740352,-20.3799991607666
1708006599.833272,740864,-20.3799991607666
1708006643.0092485,745472,-20.34000015258789
1708006681.4424446,749568,-20.389999389648438
1708006686.2418122,750080,-20.389999389648438
1708006700.643675,751616,-20.389999389648438
1708006763.0827286,758272,-20.399999618530273
1708006772.6807606,759296,-20.399999618530273
1708006825.4195993,764928,-20.360000610351562
1708006839.8397386,766464,-20.3700008392334
1708006859.058198,768512,-20.3700008392334
1708006878.2837963,770560,-20.399999618530273
1708006897.496555,772608,-20.399999618530273
1708006931.1332455,776192,-20.420000076293945
1708006935.9502432,776704,-20.440000534057617
1708006950.359166,778240,-20.479999542236328
1708006964.7492256,779776,-20.479999542236328
1708007022.3646069,785920,-20.440000534057617
1708007051.1434395,788992,-20.440000534057617
1708007070.319123,791040,-20.440000534057617
1708007118.2847512,796160,-20.43000030517578
1708007132.6527843,797696,-20.43000030517578
1708007199.7797732,804864,-20.459999084472656
1708007214.1694462,806400,-20.469999313354492
1708007238.1373036,808960,-20.469999313354492
1708007252.5250766,810496,-20.459999084472656
1708007295.7089627,815104,-20.450000762939453
1708007348.533925,820736,-20.440000534057617
1708007372.5101013,823296,-20.440000534057617
1708007382.0940495,824320,-20.440000534057617
1708007497.1619823,836608,-20.440000534057617
1708007535.5647044,840704,-20.40999984741211
1708007545.1768568,841728,-20.420000076293945
1708007559.5816376,843264,-20.40999984741211
1708007588.4237454,846336,-20.40999984741211
1708007593.2223964,846848,-20.40999984741211
1708007626.8543608,850432,-20.43000030517578
1708007665.2851048,854528,-20.450000762939453
1708007684.4798107,856576,-20.43000030517578
1708007703.6803973,858624,-20.420000076293945
1708007737.265776,862208,-20.3799991607666
1708007746.8571348,863232,-20.3700008392334
1708007775.639244,866304,-20.350000381469727
1708007818.8140788,870912,-20.299999237060547
1708007857.1641357,875008,-20.329999923706055
1708007866.7533684,876032,-20.31999969482422
1708007881.1318467,877568,-20.31999969482422
1708007895.5086267,879104,-20.309999465942383
1708007900.3068671,879616,-20.329999923706055
1708007933.876562,883200,-20.329999923706055
1708007953.0476747,885248,-20.34000015258789
1708007957.8432815,885760,-20.34000015258789
1708007991.4068666,889344,-20.34000015258789
1708008034.5867248,893952,-20.31999969482422
1708008053.8780973,896000,-20.309999465942383
1708008063.5199142,897024,-20.309999465942383
1708008106.8556147,901632,-20.31999969482422
1708008159.7808251,907264,-20.309999465942383
1708008207.9228654,912384,-20.290000915527344
1708008217.5452838,913408,-20.270000457763672
1708008251.2296188,916992,-20.280000686645508
1708008256.026825,917504,-20.280000686645508
1708008275.2343717,919552,-20.270000457763672
1708008289.6335368,921088,-20.290000915527344
1708008328.1065583,925184,-20.290000915527344
1708008419.467933,934912,-20.299999237060547
1708008438.6867602,936960,-20.280000686645508
1708008472.3528159,940544,-20.299999237060547
1708008510.8293197,944640,-20.31999969482422
1708008554.0676434,949248,-20.329999923706055
1708008573.4442222,951296,-20.3700008392334
1708008616.882023,955904,-20.450000762939453
1708008640.9701407,958464,-20.450000762939453
1708008645.786263,958976,-20.459999084472656
1708008650.5889075,959488,-20.459999084472656
1708008727.5943422,967680,-20.479999542236328
1708008751.6797483,970240,-20.489999771118164
1708008804.6423368,975872,-20.489999771118164
1708008819.1016982,977408,-20.469999313354492
1708008848.013438,980480,-20.489999771118164
1708008852.8328707,980992,-20.5
1708008872.1152308,983040,-20.520000457763672
1708008896.1976538,985600,-20.520000457763672
1708008925.0500407,988672,-20.5
1708008929.8538404,989184,-20.5
1708008982.6680377,994816,-20.5
1708009001.8660836,996864,-20.510000228881836
1708009006.694977,997376,-20.510000228881836
1708009025.9550889,999424,-20.489999771118164
1708009035.57527,1000448,-20.479999542236328
1708009064.4042182,1003520,-20.479999542236328
1708009078.7969358,1005056,-20.489999771118164
1708009097.9861903,1007104,-20.489999771118164
1708009102.785439,1007616,-20.489999771118164
1708009112.3740075,1008640,-20.489999771118164
1708009117.1736736,1009152,-20.489999771118164
1708009126.8067656,1010176,-20.489999771118164
1708009179.557461,1015808,-20.510000228881836
1708009189.1658676,1016832,-20.489999771118164
1708009227.6056702,1020928,-20.5
1708009232.4185255,1021440,-20.510000228881836
1708009246.8357005,1022976,-20.510000228881836
1708009414.9118998,1040896,-20.420000076293945
1708009515.61285,1051648,-20.3799991607666
1708009553.9758341,1055744,-20.360000610351562
1708009611.5174801,1061888,-20.360000610351562
1708009625.8925006,1063424,-20.3700008392334
1708009669.047735,1068032,-20.3799991607666
1708009716.9668784,1073152,-20.350000381469727
1708009755.313593,1077248,-20.31999969482422
1708009769.6959374,1078784,-20.329999923706055
1708009784.0886524,1080320,-20.329999923706055
1708009812.870211,1083392,-20.34000015258789
1708009836.8395293,1085952,-20.360000610351562
1708009841.6311848,1086464,-20.360000610351562
1708009860.806182,1088512,-20.3799991607666
1708009865.6044142,1089024,-20.3799991607666
1708009899.1810668,1092608,-20.389999389648438
1708009942.3471687,1097216,-20.3700008392334
1708009956.7260616,1098752,-20.360000610351562
1708010052.6334345,1108992,-20.360000610351562
1708010100.5717342,1114112,-20.389999389648438
1708010186.8759267,1123328,-20.420000076293945
1708010220.4544766,1126912,-20.479999542236328
1708010254.0268538,1130496,-20.459999084472656
1708010292.3909247,1134592,-20.459999084472656
1708010301.982779,1135616,-20.459999084472656
1708010321.1662507,1137664,-20.450000762939453
1708010349.939751,1140736,-20.459999084472656
1708010369.1054685,1142784,-20.450000762939453
1708010421.8436625,1148416,-20.469999313354492
1708010436.2222111,1149952,-20.469999313354492
1708010460.2015147,1152512,-20.489999771118164
1708010522.53529,1159168,-20.530000686645508
1708010637.600152,1171456,-20.559999465942383
1708010728.7694168,1181184,-20.549999237060547
1708010752.759518,1183744,-20.559999465942383
1708010757.5743878,1184256,-20.579999923706055
1708010805.6773238,1189376,-20.579999923706055
1708010820.0875635,1190912,-20.59000015258789
1708010844.086602,1193472,-20.610000610351562
1708010882.46911,1197568,-20.59000015258789
1708010930.4694748,1202688,-20.56999969482422
1708010978.4462523,1207808,-20.559999465942383
1708011012.0467253,1211392,-20.56999969482422
1708011079.220807,1218560,-20.579999923706055
1708011155.9923627,1226752,-20.540000915527344
1708011175.1714282,1228800,-20.549999237060547
1708011179.9673836,1229312,-20.549999237060547
1708011194.3640115,1230848,-20.559999465942383
1708011199.1610346,1231360,-20.559999465942383
1708011343.06669,1246720,-20.420000076293945
1708011357.43675,1248256,-20.420000076293945
