Wall time,Step,Value
1713166462.794112,14336,-21.0
1713166476.09185,18432,-20.700000762939453
1713166489.4235818,22528,-20.700000762939453
1713166496.150054,24576,-21.0
1713166509.463945,28672,-21.0
1713166522.784414,32768,-21.0
1713166529.460879,34816,-21.0
1713166536.202389,36864,-21.0
1713166542.871694,38912,-21.0
1713166549.574116,40960,-21.0
1713166556.2549388,43008,-21.0
1713166562.976594,45056,-21.0
1713166569.6742861,47104,-21.0
1713166576.5147011,49152,-21.0
1713166583.333079,51200,-21.0
1713166590.162337,53248,-21.0
1713166603.772633,57344,-21.0
1713166617.430075,61440,-21.0
1713166624.360159,63488,-21.0
1713166658.101387,73728,-21.0
1713166664.8258119,75776,-21.0
1713166671.576035,77824,-21.0
1713166678.361449,79872,-21.0
1713166685.168024,81920,-21.0
1713166698.681032,86016,-21.0
1713166719.137845,92160,-21.0
1713166725.8067179,94208,-21.0
1713166739.579464,98304,-21.0
1713166746.43138,100352,-21.0
1713166753.16419,102400,-21.0
1713166759.943562,104448,-21.0
1713166773.380333,108544,-21.0
1713166787.145398,112640,-21.0
1713166794.094625,114688,-21.0
1713166814.477622,120832,-21.0
1713166821.324836,122880,-21.0
1713166828.0171142,124928,-21.0
1713166834.809131,126976,-21.0
1713166841.554891,129024,-21.0
1713166861.9711208,135168,-21.0
1713166868.676645,137216,-21.0
1713166875.367436,139264,-21.0
1713166882.228162,141312,-21.0
1713166889.180348,143360,-21.0
1713166896.102344,145408,-21.0
1713166902.939559,147456,-21.0
1713166909.7270021,149504,-21.0
1713166916.4184692,151552,-21.0
1713166923.0786939,153600,-21.0
1713166936.489023,157696,-21.0
1713166943.23816,159744,-21.0
1713166949.937492,161792,-21.0
1713166956.5933208,163840,-21.0
1713166969.959146,167936,-21.0
1713166983.513876,172032,-21.0
1713166990.2275012,174080,-21.0
1713167003.651047,178176,-21.0
1713167010.344619,180224,-21.0
1713167023.8655329,184320,-21.0
1713167030.542231,186368,-21.0
1713167037.138456,188416,-21.0
1713167043.880849,190464,-21.0
1713167050.608672,192512,-21.0
1713167057.359005,194560,-21.0
1713167070.666806,198656,-21.0
1713167077.256897,200704,-21.0
1713167083.912464,202752,-21.0
1713167090.658149,204800,-21.0
1713167124.114311,215040,-21.0
1713167130.773632,217088,-21.0
1713167144.202881,221184,-21.0
1713167157.5011961,225280,-21.0
1713167164.164514,227328,-21.0
1713167170.829155,229376,-21.0
1713167190.876894,235520,-21.0
1713167197.5551722,237568,-21.0
1713167217.7582889,243712,-21.0
1713167237.785729,249856,-21.0
1713167251.101047,253952,-21.0
1713167257.84724,256000,-21.0
1713167264.5426838,258048,-21.0
1713167291.341195,266240,-21.0
1713167298.152916,268288,-21.0
1713167305.0475771,270336,-21.0
1713167311.8253288,272384,-21.0
1713167325.643532,276480,-21.0
1713167332.486521,278528,-21.0
1713167353.412837,284672,-21.0
1713167374.05293,290816,-21.0
1713167380.9725912,292864,-21.0
1713167394.5054321,296960,-21.0
1713167407.832024,301056,-21.0
1713167414.5047302,303104,-21.0
1713167421.28862,305152,-21.0
1713167428.007742,307200,-21.0
1713167434.662297,309248,-21.0
1713167441.34488,311296,-21.0
1713167454.8037271,315392,-21.0
1713167461.585537,317440,-21.0
1713167468.251571,319488,-21.0
1713167474.927758,321536,-21.0
1713167488.352427,325632,-21.0
1713167495.0281038,327680,-21.0
1713167501.767854,329728,-21.0
1713167515.095453,333824,-21.0
1713167521.802738,335872,-21.0
1713167528.60179,337920,-21.0
1713167542.2135239,342016,-21.0
1713167549.029919,344064,-21.0
1713167562.560212,348160,-21.0
1713167569.316851,350208,-21.0
1713167582.978961,354304,-21.0
1713167589.756759,356352,-21.0
1713167596.48143,358400,-21.0
1713167610.119342,362496,-21.0
1713167617.036407,364544,-21.0
1713167637.388565,370688,-21.0
1713167644.4509969,372736,-21.0
