Wall time,Step,Value
1708480189.151356,5120,-20.0
1708480240.8715332,10240,-20.375
1708480246.0360594,10752,-20.375
1708480261.590225,12288,-20.58333396911621
1708480303.0119748,16384,-20.5625
1708480308.1760976,16896,-20.5625
1708480375.4537482,23552,-20.54166603088379
1708480411.652054,27136,-20.5
1708480416.826974,27648,-20.5
1708480421.9994698,28160,-20.5
1708480489.2189333,34816,-20.314285278320312
1708480494.3931694,35328,-20.27777862548828
1708480514.96484,37376,-20.289474487304688
1708480530.4188566,38912,-20.25
1708480535.537636,39424,-20.25
1708480566.3316648,42496,-20.255813598632812
1708480591.9663515,45056,-20.217391967773438
1708480627.8251138,48640,-20.260000228881836
1708480679.1354783,53760,-20.263158798217773
1708480699.610256,55808,-20.258621215820312
1708480720.182793,57856,-20.278688430786133
1708480792.0179548,65024,-20.147058486938477
1708480812.5374472,67072,-20.144927978515625
1708480817.660229,67584,-20.071428298950195
1708480827.9133463,68608,-20.08450698852539
1708480838.1666389,69632,-20.068492889404297
1708480868.9756196,72704,-20.067567825317383
1708480910.0026987,76800,-20.012821197509766
1708480920.266009,77824,-20.0
1708480925.3786726,78336,-20.0
1708480940.7499232,79872,-19.962963104248047
1708480976.6666067,83456,-19.882352828979492
1708480992.026475,84992,-19.882352828979492
1708481002.2638571,86016,-19.882352828979492
1708481012.533713,87040,-19.88372039794922
1708481053.58879,91136,-19.797752380371094
1708481079.2514524,93696,-19.76344108581543
1708481115.1492252,97280,-19.75
1708481151.0342147,100864,-19.744897842407227
1708481156.1789458,101376,-19.75757598876953
1708481212.537369,107008,-19.729999542236328
1708481222.8219192,108032,-19.719999313354492
1708481263.8317258,112128,-19.670000076293945
1708481345.8427758,120320,-19.579999923706055
1708481422.8277733,128000,-19.549999237060547
1708481427.9669163,128512,-19.540000915527344
1708481494.5947785,135168,-19.489999771118164
1708481499.7241077,135680,-19.469999313354492
1708481561.264163,141824,-19.459999084472656
1708481576.645351,143360,-19.469999313354492
1708481617.7014914,147456,-19.450000762939453
1708481633.0918093,148992,-19.399999618530273
1708481648.486794,150528,-19.350000381469727
1708481658.7380939,151552,-19.350000381469727
1708481684.4019446,154112,-19.34000015258789
1708481694.684346,155136,-19.34000015258789
1708481751.0608408,160768,-19.18000030517578
1708481771.5631382,162816,-19.110000610351562
1708481792.0723658,164864,-19.110000610351562
1708481802.3291135,165888,-19.059999465942383
1708481807.4530945,166400,-19.059999465942383
1708481822.8457663,167936,-19.0
1708481940.8044448,179712,-18.709999084472656
1708481945.9248827,180224,-18.709999084472656
1708482007.5553045,186368,-18.719999313354492
1708482037.9669998,189440,-18.690000534057617
1708482042.892006,189952,-18.719999313354492
1708482047.8184552,190464,-18.65999984741211
1708482106.8676531,196608,-18.579999923706055
1708482146.1942592,200704,-18.579999923706055
1708482165.893669,202752,-18.5
1708482175.7352612,203776,-18.459999084472656
1708482200.3316243,206336,-18.459999084472656
1708482224.933944,208896,-18.459999084472656
1708482234.7691724,209920,-18.459999084472656
1708482288.8938687,215552,-18.299999237060547
1708482318.4141421,218624,-18.280000686645508
1708482323.3328152,219136,-18.280000686645508
1708482392.245188,226304,-18.09000015258789
1708482397.1646817,226816,-18.09000015258789
1708482407.0027509,227840,-18.030000686645508
1708482441.454266,231424,-17.90999984741211
1708482470.9872162,234496,-17.84000015258789
1708482490.6737196,236544,-17.690000534057617
1708482515.3029041,239104,-17.690000534057617
1708482534.9733918,241152,-17.670000076293945
1708482549.7499347,242688,-17.559999465942383
1708482559.5881917,243712,-17.489999771118164
1708482579.27267,245760,-17.479999542236328
1708482584.1886013,246272,-17.479999542236328
1708482608.7624054,248832,-17.469999313354492
1708482613.679545,249344,-17.469999313354492
1708482643.1966438,252416,-17.309999465942383
1708482756.3404667,264192,-17.010000228881836
1708482766.1850345,265216,-16.829999923706055
1708482771.1064708,265728,-16.829999923706055
1708482776.0218515,266240,-16.829999923706055
1708482790.7687275,267776,-16.75
1708482800.6041892,268800,-16.75
1708482869.5202298,275968,-16.469999313354492
1708482874.439044,276480,-16.469999313354492
1708482884.2829976,277504,-16.469999313354492
1708482894.1191359,278528,-16.469999313354492
1708482903.9559433,279552,-16.34000015258789
1708482923.6438622,281600,-16.100000381469727
1708482933.4699194,282624,-16.100000381469727
1708482953.1960752,284672,-16.100000381469727
1708482963.0480838,285696,-16.100000381469727
1708482982.7308815,287744,-16.100000381469727
1708483012.2625813,290816,-15.699999809265137
1708483022.1013901,291840,-15.699999809265137
1708483041.7809997,293888,-15.699999809265137
1708483120.5038297,302080,-15.260000228881836
1708483150.0311563,305152,-15.100000381469727
1708483169.711154,307200,-15.100000381469727
1708483179.556002,308224,-14.850000381469727
1708483263.2154975,316928,-14.649999618530273
1708483268.1368425,317440,-14.649999618530273
1708483307.505515,321536,-14.520000457763672
1708483312.4177597,322048,-14.520000457763672
1708483337.0355973,324608,-14.520000457763672
1708483341.9629247,325120,-14.520000457763672
1708483381.3357956,329216,-14.510000228881836
1708483410.8620956,332288,-14.550000190734863
1708483415.7796304,332800,-14.550000190734863
1708483440.4173322,335360,-14.470000267028809
1708483484.7185602,339968,-14.510000228881836
1708483494.5642254,340992,-14.510000228881836
1708483528.9983456,344576,-14.390000343322754
1708483568.3611724,348672,-14.329999923706055
1708483573.2816184,349184,-14.329999923706055
1708483612.6531157,353280,-14.289999961853027
1708483652.0201828,357376,-14.279999732971191
1708483661.8616745,358400,-14.199999809265137
1708483740.6334138,366592,-14.130000114440918
1708483794.7870607,372224,-14.119999885559082
1708483804.6479638,373248,-14.050000190734863
1708483814.4921932,374272,-14.050000190734863
1708483829.261181,375808,-13.880000114440918
1708483834.1789477,376320,-13.880000114440918
1708483844.0399063,377344,-13.880000114440918
1708483848.9581013,377856,-13.880000114440918
1708483853.875974,378368,-13.880000114440918
1708483908.000471,384000,-13.8100004196167
1708484006.451639,394240,-13.609999656677246
1708484060.5781066,399872,-13.609999656677246
1708484065.4950824,400384,-13.609999656677246
1708484085.1655557,402432,-13.680000305175781
1708484095.0011373,403456,-13.680000305175781
1708484124.5228121,406528,-13.630000114440918
1708484203.2540133,414720,-13.460000038146973
1708484208.1784198,415232,-13.470000267028809
1708484218.0180168,416256,-13.470000267028809
1708484232.7764575,417792,-13.470000267028809
1708484277.0556948,422400,-13.380000114440918
1708484341.0794818,429056,-13.329999923706055
1708484380.4915786,433152,-13.109999656677246
1708484395.2452123,434688,-13.109999656677246
1708484464.1863785,441856,-12.949999809265137
1708484488.8022044,444416,-12.600000381469727
1708484508.5113306,446464,-12.600000381469727
1708484533.1497765,449024,-12.600000381469727
1708484597.1710815,455680,-12.289999961853027
1708484607.0057185,456704,-12.289999961853027
1708484651.3284135,461312,-12.229999542236328
1708484661.1712234,462336,-12.229999542236328
1708484680.8484633,464384,-12.079999923706055
1708484715.269849,467968,-11.899999618530273
1708484823.5061448,479232,-11.800000190734863
1708484833.344048,480256,-11.800000190734863
1708484882.582032,485376,-11.619999885559082
1708484917.0312848,488960,-11.5600004196167
1708484985.8893824,496128,-11.420000076293945
1708485064.6125636,504320,-11.5
1708485079.3692923,505856,-11.5
1708485128.587211,510976,-11.550000190734863
1708485138.4292305,512000,-11.550000190734863
1708485163.0181015,514560,-11.550000190734863
1708485177.78498,516096,-11.569999694824219
1708485187.6385515,517120,-11.680000305175781
1708485241.7423015,522752,-11.720000267028809
1708485276.1628604,526336,-11.640000343322754
