Wall time,Step,Value
1708288044.2192962,5632,-20.5
1708288093.2838655,10752,-20.700000762939453
1708288098.1886637,11264,-20.727272033691406
1708288112.910305,12800,-20.66666603088379
1708288152.1535108,16896,-20.625
1708288157.0591471,17408,-20.625
1708288220.863901,24064,-20.375
1708288255.2307794,27648,-20.39285659790039
1708288260.1478126,28160,-20.39285659790039
1708288265.0589747,28672,-20.379310607910156
1708288328.8699198,35328,-20.486486434936523
1708288333.7840734,35840,-20.5
1708288353.4239454,37888,-20.524999618530273
1708288368.1462784,39424,-20.547618865966797
1708288373.0530903,39936,-20.534883499145508
1708288402.505097,43008,-20.53191566467285
1708288427.0346215,45568,-20.5510196685791
1708288461.3897383,49152,-20.49056625366211
1708288510.4820454,54272,-20.517240524291992
1708288530.134747,56320,-20.52458953857422
1708288549.7895508,58368,-20.515625
1708288618.5247428,65536,-20.48611068725586
1708288638.155618,67584,-20.47945213317871
1708288643.07223,68096,-20.49333381652832
1708288652.8805678,69120,-20.49333381652832
1708288662.6963236,70144,-20.5
1708288692.1484132,73216,-20.493671417236328
1708288731.4199052,77312,-20.428571701049805
1708288741.225146,78336,-20.428571701049805
1708288746.1295035,78848,-20.42352867126465
1708288760.8469334,80384,-20.430233001708984
1708288795.207582,83968,-20.404495239257812
1708288809.9266658,85504,-20.406593322753906
1708288819.7435954,86528,-20.387096405029297
1708288829.5550468,87552,-20.387096405029297
1708288868.8146744,91648,-20.37755012512207
1708288893.3646011,94208,-20.360000610351562
1708288927.7305467,97792,-20.329999923706055
1708288962.0772622,101376,-20.31999969482422
1708288966.9923959,101888,-20.280000686645508
1708289020.9849494,107520,-20.219999313354492
1708289030.801977,108544,-20.219999313354492
1708289070.0583038,112640,-20.219999313354492
1708289148.5931225,120832,-20.190000534057617
1708289222.2307124,128512,-20.06999969482422
1708289227.1380613,129024,-20.06999969482422
1708289290.9543345,135680,-19.920000076293945
1708289295.8573885,136192,-19.920000076293945
1708289354.7355363,142336,-19.889999389648438
1708289369.4524946,143872,-19.850000381469727
1708289408.7052467,147968,-19.760000228881836
1708289423.4240563,149504,-19.770000457763672
1708289438.146277,151040,-19.799999237060547
1708289447.9688542,152064,-19.780000686645508
1708289472.5038836,154624,-19.760000228881836
1708289482.311223,155648,-19.760000228881836
1708289536.2831433,161280,-19.68000030517578
1708289555.9009244,163328,-19.649999618530273
1708289575.5087774,165376,-19.649999618530273
1708289585.3198586,166400,-19.649999618530273
1708289590.2292027,166912,-19.639999389648438
1708289604.9486623,168448,-19.56999969482422
1708289717.797349,180224,-19.540000915527344
1708289722.7018347,180736,-19.540000915527344
1708289781.6119223,186880,-19.420000076293945
1708289811.0695958,189952,-19.389999389648438
1708289815.9739897,190464,-19.389999389648438
1708289820.8783154,190976,-19.389999389648438
1708289879.7734706,197120,-19.3700008392334
1708289919.0429752,201216,-19.350000381469727
1708289938.6687715,203264,-19.350000381469727
1708289948.4955366,204288,-19.290000915527344
1708289973.0368197,206848,-19.290000915527344
1708289997.5669537,209408,-19.260000228881836
1708290007.3823557,210432,-19.229999542236328
1708290061.37482,216064,-19.190000534057617
1708290090.8344936,219136,-19.15999984741211
1708290095.742387,219648,-19.15999984741211
1708290164.4647915,226816,-19.059999465942383
1708290169.371861,227328,-19.059999465942383
1708290179.184419,228352,-19.059999465942383
1708290213.5524793,231936,-18.979999542236328
1708290242.9971087,235008,-18.950000762939453
1708290262.6591868,237056,-18.950000762939453
1708290287.2360122,239616,-18.889999389648438
1708290306.8669143,241664,-18.899999618530273
1708290321.5873454,243200,-18.899999618530273
1708290331.400447,244224,-18.899999618530273
1708290351.0299935,246272,-18.850000381469727
1708290355.9375913,246784,-18.850000381469727
1708290380.476293,249344,-18.850000381469727
1708290385.390827,249856,-18.81999969482422
1708290414.8296423,252928,-18.770000457763672
1708290527.698066,264704,-18.950000762939453
1708290537.5195222,265728,-18.950000762939453
1708290542.428078,266240,-18.950000762939453
1708290547.3353145,266752,-18.950000762939453
1708290562.052069,268288,-18.979999542236328
1708290571.8590214,269312,-18.979999542236328
1708290640.5430882,276480,-18.969999313354492
1708290645.4493613,276992,-18.969999313354492
1708290655.2684343,278016,-18.979999542236328
1708290665.0846393,279040,-18.979999542236328
1708290674.9038756,280064,-18.989999771118164
1708290694.517365,282112,-18.989999771118164
1708290704.3242269,283136,-18.989999771118164
1708290723.9574573,285184,-18.979999542236328
1708290733.7765765,286208,-18.989999771118164
1708290753.3999238,288256,-18.989999771118164
1708290782.840563,291328,-18.979999542236328
1708290792.660315,292352,-18.959999084472656
1708290812.2781222,294400,-18.959999084472656
1708290890.8225963,302592,-18.850000381469727
1708290920.2622948,305664,-18.829999923706055
1708290939.8886187,307712,-18.829999923706055
1708290949.7022595,308736,-18.81999969482422
1708291033.1490777,317440,-18.690000534057617
1708291038.0527508,317952,-18.690000534057617
1708291077.306174,322048,-18.59000015258789
1708291082.214725,322560,-18.559999465942383
1708291106.7491746,325120,-18.559999465942383
1708291111.6624522,325632,-18.479999542236328
1708291150.9281423,329728,-18.3799991607666
1708291180.383264,332800,-18.31999969482422
1708291185.2942784,333312,-18.350000381469727
1708291209.8387535,335872,-18.309999465942383
1708291254.040093,340480,-18.200000762939453
1708291263.8528907,341504,-18.200000762939453
1708291298.211343,345088,-18.18000030517578
1708291337.4775157,349184,-18.020000457763672
1708291342.3903933,349696,-17.940000534057617
1708291381.6642776,353792,-17.610000610351562
1708291420.9346368,357888,-17.1299991607666
1708291430.750326,358912,-17.1299991607666
1708291509.2903998,367104,-17.110000610351562
1708291563.2863896,372736,-16.950000762939453
1708291573.1067874,373760,-16.850000381469727
1708291582.926002,374784,-16.889999389648438
1708291597.6390445,376320,-16.889999389648438
1708291602.5503554,376832,-16.770000457763672
1708291612.3653967,377856,-16.770000457763672
1708291617.274218,378368,-16.770000457763672
1708291622.1819203,378880,-16.770000457763672
1708291676.1494064,384512,-16.670000076293945
1708291774.3459935,394752,-16.520000457763672
1708291828.3340893,400384,-16.489999771118164
1708291833.241083,400896,-16.489999771118164
1708291852.862521,402944,-16.489999771118164
1708291862.6841764,403968,-16.479999542236328
1708291892.129782,407040,-16.440000534057617
1708291970.6773148,415232,-16.229999542236328
1708291975.5894756,415744,-16.229999542236328
1708291985.433457,416768,-16.229999542236328
1708292000.1677005,418304,-16.170000076293945
1708292044.3361704,422912,-16.059999465942383
1708292108.1714563,429568,-15.920000076293945
1708292147.459093,433664,-15.819999694824219
1708292162.190602,435200,-15.819999694824219
1708292230.9261446,442368,-15.729999542236328
1708292255.4723446,444928,-15.65999984741211
1708292275.10897,446976,-15.65999984741211
1708292299.6623058,449536,-15.579999923706055
1708292363.4967575,456192,-15.4399995803833
1708292373.309716,457216,-15.4399995803833
1708292417.4846857,461824,-15.369999885559082
1708292427.3096077,462848,-15.25
1708292446.9316435,464896,-15.270000457763672
1708292481.2939243,468480,-15.210000038146973
1708292589.2913947,479744,-14.819999694824219
1708292599.1123962,480768,-14.789999961853027
1708292648.2021987,485888,-14.789999961853027
1708292682.5595562,489472,-14.75
1708292751.2967873,496640,-14.640000343322754
1708292829.8248935,504832,-14.420000076293945
1708292844.5375013,506368,-14.420000076293945
1708292893.6043515,511488,-14.369999885559082
1708292903.4260912,512512,-14.359999656677246
1708292927.9568727,515072,-14.359999656677246
1708292942.6879663,516608,-14.369999885559082
1708292952.4977977,517632,-14.369999885559082
1708293006.5041528,523264,-14.380000114440918
1708293040.8857446,526848,-14.75
1708293060.5285394,528896,-14.890000343322754
1708293070.3403792,529920,-14.890000343322754
1708293114.5140636,534528,-14.65999984741211
1708293207.7761948,544256,-14.59000015258789
1708293276.4946012,551424,-14.59000015258789
1708293281.4103594,551936,-14.59000015258789
1708293291.229029,552960,-14.59000015258789
1708293310.867523,555008,-14.619999885559082
1708293355.0517335,559616,-14.710000038146973
1708293413.9573972,565760,-14.670000076293945
1708293433.6040113,567808,-14.619999885559082
1708293443.4187627,568832,-14.600000381469727
1708293458.1381958,570368,-14.59000015258789
1708293467.9528325,571392,-14.579999923706055
1708293477.7651002,572416,-14.579999923706055
1708293526.8370078,577536,-14.529999732971191
1708293546.503932,579584,-14.460000038146973
1708293551.406031,580096,-14.460000038146973
1708293580.8682718,583168,-14.3100004196167
1708293590.6857405,584192,-14.34000015258789
1708293615.2207305,586752,-14.34000015258789
1708293649.5653498,590336,-14.350000381469727
1708293674.1088958,592896,-14.300000190734863
1708293679.0195165,593408,-14.220000267028809
1708293737.908491,599552,-14.039999961853027
1708293787.005658,604672,-13.890000343322754
1708293796.8164647,605696,-13.890000343322754
1708293801.7337022,606208,-13.890000343322754
1708293836.0879683,609792,-13.890000343322754
1708293860.6319187,612352,-13.729999542236328
1708293880.2705913,614400,-13.6899995803833
1708293885.1776175,614912,-13.6899995803833
1708293944.1002862,621056,-13.520000457763672
1708293983.3797219,625152,-13.390000343322754
1708294003.0119755,627200,-13.390000343322754
1708294027.549483,629760,-13.3100004196167
1708294037.3650627,630784,-13.3100004196167
1708294057.009144,632832,-13.270000457763672
1708294130.6399467,640512,-13.119999885559082
1708294140.4868016,641536,-12.90999984741211
1708294165.0140402,644096,-12.90999984741211
1708294169.9227886,644608,-12.90999984741211
1708294179.7357922,645632,-12.90999984741211
1708294194.4677782,647168,-12.75
1708294214.103939,649216,-12.65999984741211
1708294243.5561354,652288,-12.529999732971191
1708294263.187433,654336,-12.529999732971191
1708294287.7434995,656896,-12.529999732971191
1708294317.1960075,659968,-12.460000038146973
1708294331.9317098,661504,-12.100000381469727
1708294356.4706953,664064,-12.100000381469727
1708294371.1920083,665600,-12.100000381469727
1708294395.752427,668160,-11.960000038146973
1708294415.3975694,670208,-11.960000038146973
1708294435.0360312,672256,-11.760000228881836
1708294479.211142,676864,-11.579999923706055
