Wall time,Step,Value
1708073176.3577588,6144,-16627.75
1708073222.9066207,11264,-16994.599609375
1708073227.580333,11776,-16994.599609375
1708073241.6232555,13312,-17644.333984375
1708073279.1382163,17408,-17644.333984375
1708073283.7806175,17920,-17644.333984375
1708073343.707622,24576,-20814.75
1708073375.8715274,28160,-21835.333984375
1708073380.5271175,28672,-21835.333984375
1708073385.2021194,29184,-21835.333984375
1708073445.0564504,35840,-22651.80078125
1708073449.638887,36352,-23319.818359375
1708073467.982744,38400,-23876.5
1708073481.63748,39936,-24257.23046875
1708073486.2673304,40448,-24257.23046875
1708073514.2772732,43520,-24257.23046875
1708073537.6238363,46080,-24994.142578125
1708073569.9072332,49664,-24994.142578125
1708073614.972702,54784,-26419.353515625
1708073632.936525,56832,-26524.833984375
1708073651.1037414,58880,-26524.833984375
1708073714.19974,66048,-26308.369140625
1708073732.1399906,68096,-26308.369140625
1708073736.6222441,68608,-26308.369140625
1708073745.6146395,69632,-26308.369140625
1708073754.6018226,70656,-26308.369140625
1708073781.529469,73728,-26659.953125
1708073817.4355314,77824,-26811.7734375
1708073826.4380977,78848,-26811.7734375
1708073830.934885,79360,-26950.390625
1708073844.4422336,80896,-26223.73046875
1708073875.9923046,84480,-26223.73046875
1708073889.6014342,86016,-25910.517578125
1708073898.5792878,87040,-25684.357421875
1708073907.5571694,88064,-25425.5
1708073943.4866302,92160,-24675.908203125
1708073966.0106127,94720,-24455.82421875
1708073997.4887552,98304,-23636.10546875
1708074028.9766226,101888,-23636.10546875
1708074033.4788733,102400,-23636.10546875
1708074083.1927044,108032,-23636.10546875
1708074092.341621,109056,-23636.10546875
1708074128.94056,113152,-23636.10546875
1708074202.4300084,121344,-24242.19140625
1708074271.1267257,129024,-24242.19140625
1708074275.7180607,129536,-24242.19140625
1708074335.3486874,136192,-24742.869140625
1708074339.9192343,136704,-24742.869140625
1708074394.8671956,142848,-24742.869140625
1708074408.5814679,144384,-24742.869140625
1708074445.2452562,148480,-24742.869140625
1708074458.7625766,150016,-24742.869140625
1708074472.3172154,151552,-25064.734375
1708074481.3147328,152576,-25163.439453125
1708074503.8894422,155136,-25163.439453125
1708074513.1487708,156160,-25163.439453125
1708074563.1397614,161792,-25163.439453125
1708074581.3132806,163840,-25163.439453125
1708074599.5315654,165888,-25163.439453125
1708074608.606498,166912,-25163.439453125
1708074613.1239214,167424,-25163.439453125
1708074626.700907,168960,-25349.4609375
1708074730.7734003,180736,-25521.703125
1708074735.2850611,181248,-25521.703125
1708074789.4831388,187392,-25681.642578125
1708074816.5996792,190464,-25830.55078125
1708074821.117236,190976,-25830.55078125
1708074825.6506953,191488,-25830.55078125
1708074880.1556509,197632,-25830.55078125
1708074916.255571,201728,-25830.55078125
1708074934.3994968,203776,-25830.55078125
1708074943.5268674,204800,-25969.533203125
1708074966.1961412,207360,-26099.548828125
1708074988.6704853,209920,-26099.548828125
1708074997.6315844,210944,-26099.548828125
1708075046.9330616,216576,-26099.548828125
1708075073.8282754,219648,-26099.548828125
1708075078.3110409,220160,-26099.548828125
1708075141.062883,227328,-26335.939453125
1708075145.545357,227840,-26335.939453125
1708075154.5108614,228864,-26335.939453125
1708075185.8810947,232448,-26335.939453125
1708075212.7794383,235520,-26335.939453125
1708075230.714159,237568,-26335.939453125
1708075253.1310925,240128,-26390.626953125
1708075271.0673544,242176,-26545.314453125
1708075284.5176063,243712,-26545.314453125
1708075293.4920037,244736,-26545.314453125
1708075311.4539437,246784,-26545.314453125
1708075315.9384735,247296,-26545.314453125
1708075338.346665,249856,-26545.314453125
1708075342.833801,250368,-26545.314453125
1708075369.7213857,253440,-26545.314453125
1708075472.8844264,265216,-26732.0546875
1708075481.8460186,266240,-26732.0546875
1708075486.3284636,266752,-26732.0546875
