Wall time,Step,Value
1713034207.5463092,51200,-29471.0
1713034221.280928,55296,-29471.0
1713034234.999094,59392,-29471.0
1713034241.907776,61440,-29471.0
1713034255.6060958,65536,-29471.0
1713034269.2968562,69632,-29471.0
1713034276.1607869,71680,-29471.0
1713034283.083245,73728,-30000.0
1713034289.909861,75776,-30000.0
1713034296.720982,77824,-30000.0
1713034303.64962,79872,-30000.0
1713034310.4977121,81920,-30000.0
1713034317.353336,83968,-30000.0
1713034324.2027898,86016,-30000.0
1713034331.070982,88064,-30000.0
1713034337.888617,90112,-30000.0
1713034351.551428,94208,-30000.0
1713034365.2539892,98304,-30000.0
1713034372.055539,100352,-30000.0
1713034406.2854269,110592,-30000.0
1713034413.153883,112640,-30000.0
1713034420.036712,114688,-30000.0
1713034426.891615,116736,-30000.0
1713034433.734261,118784,-30000.0
1713034447.576718,122880,-30000.0
1713034468.1790102,129024,-30000.0
1713034475.0253718,131072,-30000.0
1713034488.77636,135168,-30000.0
1713034495.5722182,137216,-30000.0
1713034502.404313,139264,-30000.0
1713034509.278903,141312,-30000.0
1713034523.03633,145408,-30000.0
1713034536.714251,149504,-30000.0
1713034543.640509,151552,-30000.0
1713034564.2304041,157696,-30000.0
1713034571.114999,159744,-30000.0
1713034577.9822788,161792,-30000.0
1713034584.780172,163840,-30000.0
1713034591.629992,165888,-30000.0
1713034612.129026,172032,-30000.0
1713034618.936109,174080,-30000.0
1713034625.841068,176128,-30000.0
1713034632.737901,178176,-30000.0
1713034639.592383,180224,-30000.0
1713034646.4137511,182272,-30000.0
1713034653.257965,184320,-30000.0
1713034660.132266,186368,-30000.0
1713034667.048807,188416,-30000.0
1713034673.837934,190464,-30000.0
1713034687.480033,194560,-30000.0
1713034694.3373811,196608,-30000.0
1713034701.200432,198656,-30000.0
1713034708.04946,200704,-30000.0
1713034721.701012,204800,-30000.0
1713034735.334344,208896,-30000.0
1713034742.15929,210944,-30000.0
1713034755.8572428,215040,-30000.0
1713034762.739159,217088,-30000.0
1713034776.3850482,221184,-30000.0
1713034783.226725,223232,-30000.0
1713034790.044232,225280,-30000.0
1713034796.870881,227328,-30000.0
1713034803.73936,229376,-30000.0
1713034810.5991008,231424,-30000.0
1713034824.265554,235520,-30000.0
1713034831.0800908,237568,-30000.0
1713034837.9240792,239616,-30000.0
1713034844.8181472,241664,-30000.0
1713034858.518424,245760,-30000.0
1713034879.081822,251904,-30000.0
1713034885.922431,253952,-30000.0
1713034899.619691,258048,-30000.0
1713034913.271408,262144,-30000.0
1713034920.1455638,264192,-30000.0
1713034926.9670389,266240,-30000.0
1713034947.594025,272384,-30000.0
1713034954.410848,274432,-30000.0
1713034974.901611,280576,-30000.0
1713034995.4094741,286720,-30000.0
1713035009.1560042,290816,-30000.0
1713035015.993849,292864,-30000.0
1713035022.8703601,294912,-30000.0
1713035050.27546,303104,-30000.0
1713035057.1269171,305152,-30000.0
1713035063.9656131,307200,-30000.0
1713035070.837906,309248,-30000.0
1713035084.514567,313344,-30000.0
1713035091.369649,315392,-30000.0
1713035111.9275289,321536,-30000.0
1713035132.373579,327680,-30000.0
1713035139.237783,329728,-30000.0
1713035152.948677,333824,-30000.0
1713035166.58812,337920,-30000.0
1713035173.483669,339968,-30000.0
1713035180.342349,342016,-30000.0
1713035187.1348128,344064,-30237.900390625
1713035193.9663339,346112,-30524.900390625
1713035200.803885,348160,-30943.900390625
1713035214.48244,352256,-31907.19921875
1713035221.32818,354304,-33977.19921875
1713035228.1988769,356352,-34711.80078125
1713035235.095011,358400,-35511.3984375
1713035248.7950132,362496,-37076.0
1713035255.671735,364544,-33302.69921875
1713035262.51012,366592,-33302.69921875
1713035276.186644,370688,-31167.5
1713035283.031223,372736,-28751.0
1713035289.863393,374784,-24678.80078125
1713035303.552871,378880,-17062.19921875
1713035310.4010072,380928,-18220.30078125
1713035324.1789901,385024,-18419.599609375
1713035331.131528,387072,-18400.69921875
1713035345.1588979,391168,-18400.69921875
1713035352.054265,393216,-18400.69921875
1713035359.0087528,395264,-18416.599609375
1713035372.837695,399360,-17746.5
1713035379.786037,401408,-17657.0
1713035400.503308,407552,-17948.599609375
1713035407.419051,409600,-17948.599609375
1713035414.345334,411648,-18701.30078125
1713035421.273189,413696,-18958.0
1713035434.981193,417792,-18485.099609375
1713035441.815857,419840,-17582.900390625
1713035455.563772,423936,-17462.80078125
1713035469.315947,428032,-17593.599609375
1713035476.1235049,430080,-17792.19921875
1713035482.951951,432128,-17508.80078125
1713035489.753078,434176,-17508.80078125
1713035503.4678662,438272,-17347.69921875
1713035510.354379,440320,-17027.0
1713035531.0670989,446464,-18065.30078125
1713035558.681292,454656,-17742.30078125
1713035586.3916821,462848,-15917.5
1713035607.148593,468992,-15962.900390625
1713035614.100765,471040,-15594.5
1713035621.041418,473088,-15623.599609375
1713035627.983148,475136,-15794.0
1713035634.842916,477184,-15979.7001953125
1713035655.621699,483328,-17455.5
1713035662.591177,485376,-16910.599609375
1713035669.50878,487424,-16900.69921875
1713035676.379453,489472,-16088.7001953125
1713035697.097742,495616,-15717.7998046875
1713035704.021287,497664,-15885.7001953125
