Wall time,Step,Value
1708449949.9744236,7168,-18796.0
1708450002.0822053,12288,-19613.0
1708450007.2233498,12800,-19776.28515625
1708450022.760737,14336,-19776.28515625
1708450064.190297,18432,-19206.599609375
1708450069.3917668,18944,-19206.599609375
1708450137.110412,25600,-18976.267578125
1708450173.5362318,29184,-18688.5
1708450178.7137861,29696,-18688.5
1708450183.9009583,30208,-18678.474609375
1708450250.892334,36864,-18538.087890625
1708450256.0816848,37376,-18538.087890625
1708450276.6531532,39424,-18755.625
1708450292.0794992,40960,-18755.625
1708450297.1900535,41472,-18755.625
1708450328.0166333,44544,-19093.884765625
1708450353.788573,47104,-19284.03515625
1708450390.0502715,50688,-19252.6328125
1708450442.0733924,55808,-19341.697265625
1708450462.8606405,57856,-19306.486328125
1708450483.7216127,59904,-19343.1953125
1708450556.8957884,67072,-19985.41015625
1708450577.8029463,69120,-20099.0
1708450583.03856,69632,-20099.0
1708450593.519107,70656,-20099.0
1708450603.9653835,71680,-20099.0
1708450635.3215673,74752,-20099.0
1708450677.0801473,78848,-20232.90234375
1708450687.4620662,79872,-20232.90234375
1708450692.6435573,80384,-20232.90234375
1708450708.3019562,81920,-20232.90234375
1708450744.461526,85504,-20900.55859375
1708450759.9042375,87040,-21107.36328125
1708450770.2626562,88064,-21107.36328125
1708450780.5943947,89088,-21107.36328125
1708450821.8403852,93184,-21470.06640625
1708450847.5722136,95744,-21658.0
1708450883.5926323,99328,-21743.0625
1708450919.8348987,102912,-21743.0625
1708450925.0854588,103424,-21842.8984375
1708450982.365892,109056,-21934.255859375
1708450992.6647863,110080,-21879.619140625
1708451033.8392985,114176,-21708.625
1708451116.232755,122368,-21545.337890625
1708451193.427414,130048,-21403.03125
1708451198.5566938,130560,-21403.03125
1708451265.3888206,137216,-21505.986328125
1708451270.5430222,137728,-21505.986328125
1708451332.3345103,143872,-21613.3046875
1708451347.7796323,145408,-21613.3046875
1708451388.8221755,149504,-21663.626953125
1708451404.2529016,151040,-21593.857421875
1708451419.646108,152576,-21453.3671875
1708451429.9468431,153600,-21453.3671875
1708451455.566869,156160,-21286.123046875
1708451465.8360105,157184,-21251.09765625
1708451522.2869446,162816,-21286.326171875
1708451542.834949,164864,-21262.94140625
1708451563.4119341,166912,-21262.94140625
1708451573.7433133,167936,-21429.23046875
1708451578.890661,168448,-21429.23046875
1708451594.2714894,169984,-21411.818359375
1708451714.8533673,181760,-21153.673828125
1708451720.0864093,182272,-21154.6875
1708451782.586526,188416,-21023.0390625
1708451813.728172,191488,-20978.310546875
1708451818.9215746,192000,-20937.3203125
1708451824.1139321,192512,-20937.3203125
1708451886.65136,198656,-20874.08984375
1708451928.1540341,202752,-20874.08984375
1708451948.9256473,204800,-20874.08984375
1708451959.2962399,205824,-20874.08984375
1708451985.2312949,208384,-20874.08984375
1708452011.001714,210944,-21157.6796875
1708452021.2149565,211968,-21157.6796875
1708452077.786039,217600,-21300.2890625
1708452108.7177951,220672,-21300.2890625
1708452113.8849394,221184,-21300.2890625
1708452187.1154487,228352,-21525.19921875
1708452192.4294434,228864,-21670.80078125
1708452202.962515,229888,-21670.80078125
1708452239.4628286,233472,-21779.849609375
1708452270.6288831,236544,-21779.849609375
1708452291.3533332,238592,-21779.849609375
1708452317.066557,241152,-21779.849609375
1708452337.5532336,243200,-21779.849609375
1708452352.9513938,244736,-21779.849609375
1708452363.269727,245760,-21908.2890625
1708452383.8200998,247808,-22112.9609375
1708452388.9634566,248320,-22112.9609375
1708452414.625098,250880,-22263.359375
1708452419.7718723,251392,-22263.359375
1708452450.4985616,254464,-22263.359375
1708452568.9227853,266240,-22622.2890625
1708452579.1792927,267264,-22727.7890625
1708452584.3248003,267776,-22727.7890625
1708452589.4619565,268288,-22727.7890625
1708452604.9739091,269824,-22727.7890625
1708452615.277334,270848,-22727.7890625
1708452687.6774774,278016,-22727.7890625
1708452692.8310165,278528,-22727.7890625
1708452703.0623212,279552,-22727.7890625
1708452713.3972735,280576,-22727.7890625
1708452723.8550415,281600,-22848.6796875
1708452744.5645235,283648,-23053.390625
1708452754.916326,284672,-23053.390625
1708452775.7979958,286720,-23136.55078125
1708452786.2632966,287744,-23136.55078125
1708452807.204048,289792,-23136.55078125
1708452838.4258401,292864,-23136.55078125
1708452848.7450314,293888,-23136.55078125
1708452869.4101422,295936,-23136.55078125
1708452951.582332,304128,-23543.58984375
1708452982.468507,307200,-23543.58984375
1708453003.0762138,309248,-23543.58984375
1708453013.3330178,310272,-23543.58984375
1708453100.9650264,318976,-24006.25
1708453106.1681445,319488,-24006.25
1708453147.4582536,323584,-24161.75
1708453152.608134,324096,-24161.75
1708453178.3275752,326656,-24161.75
1708453183.4640803,327168,-24161.75
1708453224.8927124,331264,-24161.75
1708453255.7571442,334336,-24587.099609375
1708453260.9011872,334848,-24587.099609375
1708453286.7171135,337408,-24587.099609375
1708453333.3113763,342016,-24689.390625
1708453343.6418684,343040,-24689.390625
1708453379.6744728,346624,-24689.390625
1708453420.776147,350720,-24704.94921875
1708453425.88392,351232,-24732.919921875
1708453466.930617,355328,-24787.630859375
1708453508.0805342,359424,-24831.740234375
1708453518.3497968,360448,-24831.740234375
1708453601.3965764,368640,-24739.990234375
1708453658.5668304,374272,-24665.69921875
1708453668.9405138,375296,-24665.69921875
1708453679.3164382,376320,-24665.69921875
1708453694.7905817,377856,-24665.69921875
1708453699.927486,378368,-24665.69921875
1708453710.2286315,379392,-24665.69921875
1708453715.3749216,379904,-24665.69921875
1708453720.520745,380416,-24665.69921875
1708453777.6539707,386048,-24714.58984375
1708453880.8113596,396288,-24812.689453125
1708453937.3992481,401920,-24812.689453125
1708453942.5197809,402432,-24812.689453125
1708453963.1262712,404480,-25018.560546875
1708453973.3915663,405504,-25018.560546875
1708454004.1718633,408576,-25232.98046875
1708454087.307898,416768,-25235.939453125
1708454092.5386026,417280,-25235.939453125
1708454103.0003023,418304,-25235.939453125
1708454118.7636817,419840,-25235.939453125
1708454165.8579805,424448,-25534.23046875
1708454233.7756286,431104,-25749.740234375
1708454275.7177968,435200,-25749.740234375
1708454291.3419914,436736,-25749.740234375
1708454363.2734091,443904,-26316.349609375
1708454389.012366,446464,-26316.349609375
1708454409.6008885,448512,-26316.349609375
1708454435.3131926,451072,-26316.349609375
1708454502.7169933,457728,-26821.330078125
1708454513.1309245,458752,-26954.9296875
1708454560.1075974,463360,-26954.9296875
1708454570.5019524,464384,-26954.9296875
1708454591.4094677,466432,-26954.9296875
1708454627.8412383,470016,-26954.9296875
1708454742.4210532,481280,-27307.400390625
1708454752.8349032,482304,-27307.400390625
1708454804.7189033,487424,-27307.400390625
1708454840.7179372,491008,-27454.4296875
1708454912.7411842,498176,-27503.119140625
1708454995.9043853,506368,-27716.3203125
1708455011.60296,507904,-27716.3203125
1708455063.7683482,513024,-28021.91015625
1708455074.0454328,514048,-28224.869140625
1708455099.8707302,516608,-28224.869140625
1708455115.3573678,518144,-28224.869140625
1708455125.6562562,519168,-28224.869140625
1708455182.263645,524800,-28605.23046875
1708455218.327587,528384,-28864.470703125
1708455238.9379182,530432,-28864.470703125
1708455249.2466218,531456,-28864.470703125
1708455295.7096124,536064,-28958.2109375
1708455394.221279,545792,-29075.650390625
1708455467.0934443,552960,-29243.76953125
1708455472.3642368,553472,-29243.76953125
1708455482.892137,554496,-29243.76953125
1708455503.8446736,556544,-29448.669921875
1708455550.2594178,561152,-29448.669921875
1708455612.1125464,567296,-29992.08984375
1708455632.7818604,569344,-29992.08984375
1708455643.0829475,570368,-29992.08984375
1708455658.7198422,571904,-29992.08984375
1708455669.1311505,572928,-29972.76953125
1708455679.435181,573952,-29972.76953125
1708455731.1670845,579072,-30095.80078125
1708455751.8013139,581120,-30386.490234375
1708455756.9484825,581632,-30386.490234375
1708455788.1547086,584704,-30386.490234375
1708455798.5242453,585728,-30386.490234375
1708455824.5274425,588288,-30386.490234375
1708455860.7900095,591872,-30595.779296875
1708455886.620352,594432,-30595.779296875
1708455891.7521286,594944,-30806.0703125
1708455953.7498071,601088,-31197.810546875
1708456006.0690954,606208,-31317.5390625
1708456016.6199448,607232,-31317.5390625
1708456021.8983498,607744,-31317.5390625
1708456058.6803937,611328,-31287.5390625
1708456084.6831903,613888,-31287.5390625
1708456105.5564177,615936,-31162.33984375
1708456110.721636,616448,-31162.33984375
1708456172.8337998,622592,-30879.3203125
1708456214.1520672,626688,-30879.3203125
1708456234.7514336,628736,-30879.3203125
1708456260.5341113,631296,-30879.3203125
1708456270.8890462,632320,-30879.3203125
1708456291.5487955,634368,-30920.650390625
1708456369.1960814,642048,-30731.140625
1708456379.6219518,643072,-30731.140625
1708456405.4192479,645632,-30665.41015625
1708456410.5941308,646144,-30665.41015625
1708456420.8571012,647168,-30567.490234375
1708456436.3362331,648704,-30339.619140625
1708456456.92538,650752,-30228.25
