Wall time,Step,Value
1708259203.6606288,6656,-16532.666015625
1708259252.944268,11776,-17896.71484375
1708259257.8650255,12288,-17896.71484375
1708259272.657611,13824,-17462.666015625
1708259312.0931883,17920,-17596.36328125
1708259317.0147588,18432,-17596.36328125
1708259381.0538228,25088,-18643.427734375
1708259415.5309768,28672,-19378.466796875
1708259420.4531395,29184,-19378.466796875
1708259425.3759167,29696,-19378.466796875
1708259489.4289532,36352,-20254.705078125
1708259494.3601375,36864,-21081.7890625
1708259514.0623355,38912,-21081.7890625
1708259528.851241,40448,-21226.095703125
1708259533.7776675,40960,-21226.095703125
1708259563.3367286,44032,-21083.591796875
1708259588.00654,46592,-21218.435546875
1708259622.505322,50176,-21249.884765625
1708259671.9174213,55296,-21134.79296875
1708259691.6775813,57344,-21057.6328125
1708259711.3747194,59392,-21043.0
1708259780.4632285,66560,-20582.91796875
1708259800.1716688,68608,-20645.5
1708259805.0933619,69120,-20645.5
1708259814.938233,70144,-20645.5
1708259824.7843578,71168,-20645.5
1708259854.3780713,74240,-20720.341796875
1708259893.7775447,78336,-20720.341796875
1708259903.6368427,79360,-20777.068359375
1708259908.5726016,79872,-20777.068359375
1708259923.3670328,81408,-20741.578125
1708259957.8852336,84992,-20595.9140625
1708259972.6706297,86528,-20601.427734375
1708259982.512813,87552,-20601.427734375
1708259992.365861,88576,-20601.427734375
1708260031.7923176,92672,-20473.19140625
1708260056.4645004,95232,-20413.1484375
1708260090.9688969,98816,-20316.38671875
1708260125.4858346,102400,-20236.185546875
1708260130.411761,102912,-20236.185546875
1708260184.6212304,108544,-20404.162109375
1708260194.4811614,109568,-20404.162109375
1708260233.9082818,113664,-20411.095703125
1708260312.7342532,121856,-20277.421875
1708260386.6830292,129536,-20277.421875
1708260391.6277733,130048,-20277.421875
1708260455.7518072,136704,-20543.986328125
1708260460.6794302,137216,-20543.986328125
1708260519.8085663,143360,-20272.462890625
1708260534.5965588,144896,-20136.91796875
1708260574.004517,148992,-19885.943359375
1708260588.8216798,150528,-19885.943359375
1708260603.6117527,152064,-19864.27734375
1708260613.466328,153088,-19864.27734375
1708260638.2034733,155648,-19801.609375
1708260648.0697794,156672,-19828.419921875
1708260702.2606087,162304,-19873.7890625
1708260721.976656,164352,-19935.259765625
1708260741.7057252,166400,-19986.505859375
1708260751.5543985,167424,-19986.505859375
1708260756.4872012,167936,-19986.505859375
1708260771.269999,169472,-20005.5
1708260884.6334224,181248,-20306.130859375
1708260889.5609674,181760,-20306.130859375
1708260948.6817791,187904,-20422.48046875
1708260978.2746043,190976,-20419.759765625
1708260983.229464,191488,-20419.759765625
1708260988.159251,192000,-20424.4296875
1708261047.390556,198144,-19862.169921875
1708261086.846236,202240,-19626.2890625
1708261106.56478,204288,-19490.060546875
1708261116.4177582,205312,-19477.66015625
1708261141.031483,207872,-19477.66015625
1708261165.656553,210432,-19477.66015625
1708261175.591746,211456,-19416.2890625
1708261229.8125863,217088,-19335.259765625
1708261259.3865662,220160,-19351.73046875
1708261264.3246648,220672,-19268.150390625
1708261333.3469317,227840,-19194.279296875
1708261338.2794037,228352,-19194.279296875
1708261348.1352658,229376,-19138.359375
1708261382.7024503,232960,-19011.41015625
1708261412.4454467,236032,-18989.359375
1708261432.170807,238080,-18914.189453125
1708261456.832036,240640,-18841.650390625
1708261476.5586448,242688,-18767.939453125
1708261491.341196,244224,-18767.939453125
1708261501.1915565,245248,-18750.890625
1708261520.9016182,247296,-18620.76953125
1708261525.8233535,247808,-18620.76953125
1708261550.4484744,250368,-18572.05078125
1708261555.3740652,250880,-18499.91015625
1708261584.9213138,253952,-18499.91015625
1708261698.2274148,265728,-18431.73046875
1708261708.0698864,266752,-18431.73046875
1708261712.9919608,267264,-18431.73046875
1708261717.9139392,267776,-18535.060546875
1708261732.6804318,269312,-18535.060546875
1708261742.5265248,270336,-18535.060546875
1708261811.421341,277504,-18819.439453125
1708261816.3479195,278016,-18819.439453125
1708261826.1823387,279040,-18819.439453125
1708261836.0181339,280064,-18819.439453125
1708261845.862939,281088,-18819.439453125
1708261865.5691807,283136,-18819.439453125
1708261875.4489856,284160,-18819.439453125
1708261895.1369429,286208,-18940.83984375
1708261904.9726954,287232,-18940.83984375
1708261924.6575706,289280,-18940.83984375
1708261954.2066333,292352,-19195.380859375
1708261964.0570395,293376,-19195.380859375
1708261983.7550702,295424,-19293.75
1708262062.5561054,303616,-19293.75
1708262092.1322188,306688,-19329.7109375
1708262111.82253,308736,-19329.7109375
1708262121.6619048,309760,-19329.7109375
1708262205.353951,318464,-19366.23046875
1708262210.271175,318976,-19366.23046875
1708262249.6525507,323072,-19521.759765625
1708262254.5885785,323584,-19521.759765625
1708262279.2675872,326144,-19521.759765625
1708262284.2045882,326656,-19896.349609375
1708262323.6134696,330752,-20077.529296875
1708262353.181423,333824,-20219.939453125
1708262358.1126199,334336,-20219.939453125
1708262382.7291207,336896,-20232.240234375
1708262427.0592825,341504,-20351.51953125
1708262436.9023342,342528,-20351.51953125
1708262471.4323564,346112,-20411.66015625
1708262510.8204322,350208,-20571.939453125
1708262515.7457607,350720,-20571.939453125
1708262555.146515,354816,-20573.310546875
