Wall time,Step,Value
1710056861.52565,0,2536616.0
1710056863.777481,1,320721.21875
1710056866.021806,2,168554.109375
1710056868.280024,3,89665.3984375
1710056870.528182,4,67702.4765625
1710056872.797295,5,57947.55859375
1710056875.049094,6,53133.984375
1710056877.294872,7,48682.79296875
1710056879.5564191,8,48002.31640625
1710056881.7999659,9,44209.25
1710056884.06032,10,43392.546875
1710056886.3135638,11,43708.46875
1710056888.587738,12,43786.08984375
1710056890.85374,13,43762.3671875
1710056893.1010072,14,34342.36328125
1710056895.379107,15,32390.017578125
1710056897.627243,16,28759.873046875
1710056899.898199,17,26291.771484375
1710056902.133898,18,27921.654296875
1710056904.3754199,19,27441.251953125
1710056906.656588,20,25993.689453125
1710056908.904619,21,25801.7890625
1710056911.183508,22,24358.7265625
1710056913.43809,23,24125.408203125
1710056915.673443,24,23026.935546875
1710056917.93764,25,23045.140625
1710056920.182445,26,22694.8046875
1710056922.45764,27,22908.705078125
1710056924.711915,28,21553.15625
1710056926.973172,29,21599.556640625
