Wall time,Step,Value
1710057002.935636,0,2579207.5
1710057005.619606,1,500382.8125
1710057008.309062,2,222032.4375
1710057010.971029,3,138547.921875
1710057013.6192489,4,119885.3828125
1710057016.311064,5,111153.9609375
1710057018.976773,6,105684.7890625
1710057021.618927,7,101842.6328125
1710057024.317387,8,98803.7890625
1710057027.000577,9,96073.6484375
1710057029.6799319,10,93392.2265625
1710057032.379292,11,91039.921875
1710057035.035557,12,88403.2734375
1710057037.684006,13,85656.2734375
1710057040.3851662,14,83257.1875
1710057043.079136,15,80143.4296875
1710057045.7694342,16,75117.5234375
1710057048.463698,17,65224.4921875
1710057051.146952,18,49583.05859375
1710057053.809684,19,38358.05859375
1710057056.468899,20,30568.11328125
1710057059.1258938,21,25664.412109375
1710057061.723448,22,21813.52734375
1710057064.357985,23,18733.552734375
1710057067.073513,24,15780.298828125
1710057069.666164,25,13873.638671875
1710057072.2778518,26,12264.0869140625
1710057074.8600562,27,11097.4482421875
1710057077.434067,28,10269.037109375
1710057080.0160372,29,9503.1875
