Wall time,Step,Value
1710056716.241549,0,5740459.0
1710056718.5193632,1,526841.75
1710056720.768228,2,409445.4375
1710056723.031511,3,380840.0
1710056725.2962408,4,368537.65625
1710056727.551949,5,353813.96875
1710056729.816891,6,261928.59375
1710056732.100124,7,208014.984375
1710056734.348923,8,174170.078125
1710056736.621772,9,149059.15625
1710056738.890202,10,132499.359375
1710056741.167534,11,118335.5078125
1710056743.412541,12,107890.2734375
1710056745.677571,13,99896.015625
1710056747.940053,14,91660.2578125
1710056750.2024431,15,85782.828125
1710056752.468181,16,81371.2578125
1710056754.717034,17,78544.3515625
1710056756.9814,18,72065.8671875
1710056759.243886,19,69114.7734375
1710056761.502964,20,66143.5859375
1710056763.796393,21,69085.015625
1710056766.046193,22,62249.02734375
1710056768.322655,23,59331.265625
1710056770.571091,24,57295.734375
1710056772.837116,25,55974.37890625
1710056775.136988,26,53350.4296875
1710056777.722423,27,51379.3359375
1710056780.372736,28,51210.95703125
1710056782.990452,29,47744.47265625
