Wall time,Step,Value
1712237624.8827,12288,-4.666666507720947
1712237686.7035189,14336,-4.714285850524902
1712237934.397322,22528,-4.681818008422852
1712237996.452884,24576,-4.625
1712238120.417846,28672,-4.5
1712238182.2846878,30720,-4.566666603088379
1712238244.513153,32768,-4.5625
1712238368.490544,36864,-4.44444465637207
1712238430.297899,38912,-4.4210524559021
1712238492.50686,40960,-4.349999904632568
1712238554.433666,43008,-4.279069900512695
1712238802.463082,51200,-4.156862735748291
1712239363.13069,69632,-4.159420490264893
1712239425.5073879,71680,-4.14084529876709
1712239550.771561,75776,-4.199999809265137
1712239738.88776,81920,-4.333333492279053
1712239801.286035,83968,-4.325301170349121
1712239926.350788,88064,-4.375
1712240051.504977,92160,-4.380434989929199
1712240114.268777,94208,-4.393617153167725
1712240239.277857,98304,-4.387754917144775
1712240364.385119,102400,-4.369999885559082
1712240426.793781,104448,-4.329999923706055
1712240614.324309,110592,-4.309999942779541
1712240676.580432,112640,-4.320000171661377
1712240738.481496,114688,-4.28000020980835
1712240800.923509,116736,-4.25
1712240862.874034,118784,-4.239999771118164
1712241049.6502678,124928,-4.239999771118164
1712241111.671179,126976,-4.25
1712241236.064202,131072,-4.230000019073486
1712241360.278788,135168,-4.199999809265137
1712241422.630253,137216,-4.179999828338623
1712241484.6324532,139264,-4.190000057220459
1712241546.94931,141312,-4.239999771118164
1712241732.607601,147456,-4.349999904632568
1712241794.66749,149504,-4.340000152587891
1712241856.407784,151552,-4.340000152587891
1712241918.4733,153600,-4.289999961853027
1712242042.236516,157696,-4.340000152587891
1712242227.716745,163840,-4.369999885559082
1712242539.097352,174080,-4.25
1712242601.942923,176128,-4.199999809265137
1712242664.196171,178176,-4.179999828338623
1712242726.965781,180224,-4.110000133514404
1712242789.301791,182272,-4.099999904632568
1712242852.093529,184320,-4.150000095367432
1712243164.154079,194560,-4.090000152587891
1712243664.630937,210944,-4.079999923706055
1712243852.730937,217088,-4.070000171661377
1712243915.197214,219136,-4.079999923706055
1712244355.346566,233472,-4.139999866485596
1712244544.7531881,239616,-4.179999828338623
1712244671.344918,243712,-4.170000076293945
1712244734.8265111,245760,-4.179999828338623
1712244797.7540522,247808,-4.210000038146973
1712245051.0942562,256000,-4.320000171661377
1712245114.548767,258048,-4.340000152587891
1712245177.569006,260096,-4.340000152587891
1712245367.380641,266240,-4.420000076293945
1712245430.407372,268288,-4.429999828338623
1712245618.050157,274432,-4.539999961853027
1712245867.369183,282624,-4.519999980926514
1712245991.757917,286720,-4.510000228881836
1712246115.591058,290816,-4.429999828338623
1712246176.99857,292864,-4.349999904632568
1712246239.029859,294912,-4.369999885559082
1712246300.863842,296960,-4.380000114440918
1712246423.827708,301056,-4.369999885559082
1712246546.648038,305152,-4.340000152587891
1712246670.22838,309248,-4.380000114440918
1712246854.99262,315392,-4.389999866485596
1712246916.60557,317440,-4.329999923706055
1712246978.4913971,319488,-4.320000171661377
1712247101.190152,323584,-4.360000133514404
1712247162.544461,325632,-4.360000133514404
1712247222.595446,327680,-4.360000133514404
1712247408.5926259,333824,-4.360000133514404
